Freq [Hz]       dBSPL           Phase [Deg]
20.00           63.86           -68.16
20.56           63.76           -79.27
21.13           63.56           -90.82
21.71           63.26           -102.69
22.32           62.90           -114.72
22.94           62.40           -136.32
23.58           61.69           -159.71
24.23           60.75           177.08
24.90           59.54           154.82
25.60           58.02           134.43
26.31           56.18           116.99
27.04           54.09           103.69
27.79           51.97           95.56
28.56           50.34           93.20
29.36           50.06           96.76
30.17           51.59           105.79
31.01           54.26           119.17
31.87           57.06           135.02
32.76           59.46           150.78
33.67           61.35           163.77
34.61           62.81           171.53
35.57           63.98           172.16
36.56           65.01           164.48
37.57           66.06           148.15
38.62           67.29           123.72
39.69           68.80           92.62
40.79           70.53           57.19
41.93           72.26           20.29
43.09           73.67           -15.05
44.29           74.64           -46.29
45.52           75.28           -72.02
46.79           75.74           -92.17
48.09           76.14           -108.19
49.42           76.65           -122.21
50.80           77.40           -135.85
52.21           78.48           -149.89
53.66           79.73           -164.21
55.15           80.88           -178.30
56.69           81.89           168.30
58.26           82.83           156.01
59.88           83.88           145.50
61.54           85.15           138.18
63.26           86.62           135.21
65.01           88.12           136.83
66.82           89.51           142.06
68.68           90.81           148.94
70.59           92.07           155.90
72.55           93.28           162.21
74.57           94.43           168.08
76.64           95.46           174.05
78.77           96.38           -179.50
80.96           97.20           -172.37
83.21           97.95           -164.55
85.52           98.63           -156.07
87.90           99.24           -147.01
90.34           99.77           -137.32
92.85           100.21          -126.89
95.43           100.56          -115.50
98.08           100.85          -102.95
100.81          101.10          -89.22
103.61          101.32          -74.40
106.49          101.53          -58.49
109.45          101.75          -41.44
112.49          101.97          -23.38
115.62          102.19          -4.51
118.84          102.37          14.99
122.14          102.48          35.11
125.53          102.51          56.04
129.02          102.46          78.07
132.61          102.36          101.42
136.29          102.21          126.24
140.08          101.99          152.43
143.98          101.69          -179.92
147.98          101.36          -150.63
152.09          101.05          -119.93
156.32          100.77          -87.93
160.66          100.48          -54.41
165.13          100.21          -19.27
169.72          99.95           17.29
174.44          99.69           55.33
179.28          99.48           94.88
184.27          99.34           135.98
