Freq [Hz]       dBSPL           Phase [Deg]
16523.17        69.75           -5.25
16982.43        68.82           176.02
17454.45        68.74           80.87
17939.60        68.40           -25.56
18438.22        66.76           98.77
18950.71        66.55           164.55
19477.44        72.00           98.17
20018.81        75.34           -53.28
20575.22        75.88           148.06
21147.11        76.52           91.17
21734.88        77.25           92.53
