Freq [Hz]       dBSPL           Phase [Deg]
20.00           56.28           -37.95
20.56           56.28           -42.52
21.13           56.27           -46.21
21.71           56.24           -48.77
22.32           56.19           -50.09
22.94           56.12           -53.43
23.58           56.02           -54.64
24.23           55.90           -53.05
24.90           55.76           -48.84
25.60           55.63           -42.47
26.31           55.54           -34.77
27.04           55.54           -26.98
27.79           55.69           -20.43
28.56           56.04           -16.37
29.36           56.61           -15.92
30.17           57.38           -20.00
31.01           58.27           -29.36
31.87           59.19           -44.45
32.76           60.05           -65.37
33.67           60.81           -91.55
34.61           61.48           -121.80
35.57           62.10           -154.29
36.56           62.76           173.43
37.57           63.59           144.54
38.62           64.80           122.22
39.69           66.49           108.88
40.79           68.56           105.85
41.93           70.60           113.03
43.09           72.21           128.63
44.29           73.30           149.83
45.52           74.01           173.36
46.79           74.52           -164.44
48.09           74.99           -147.31
49.42           75.60           -137.97
50.80           76.56           -137.62
52.21           77.97           -145.68
53.66           79.54           -159.56
55.15           80.92           -175.60
56.69           82.07           169.17
58.26           83.11           156.67
59.88           84.26           147.77
61.54           85.64           142.90
63.26           87.22           142.17
65.01           88.79           145.25
66.82           90.21           151.10
68.68           91.50           158.12
70.59           92.74           165.06
72.55           93.95           171.41
74.57           95.10           177.42
76.64           96.16           -176.36
78.77           97.09           -169.56
80.96           97.92           -162.05
83.21           98.66           -153.85
85.52           99.34           -144.99
87.90           99.96           -135.50
90.34           100.50          -125.31
92.85           100.93          -114.30
95.43           101.29          -102.30
98.08           101.60          -89.14
100.81          101.87          -74.82
103.61          102.12          -59.49
106.49          102.35          -43.16
109.45          102.56          -25.76
112.49          102.77          -7.37
115.62          102.96          11.82
118.84          103.10          31.72
122.14          103.15          52.41
125.53          103.13          74.13
129.02          103.03          97.13
132.61          102.88          121.56
136.29          102.70          147.47
140.08          102.46          174.83
143.98          102.18          -156.24
147.98          101.88          -125.61
152.09          101.62          -93.44
156.32          101.41          -59.77
160.66          101.27          -24.63
165.13          101.20          11.73
169.72          101.15          49.08
174.44          101.10          87.52
179.28          101.07          127.28
184.27          101.07          168.38
189.39          101.11          -149.25
194.65          101.16          -105.86
200.06          101.19          -61.65
205.62          101.11          -16.20
211.34          100.92          31.23
217.21          100.70          81.05
223.25          100.49          132.97
229.46          100.29          -173.81
235.83          100.08          -119.26
242.39          99.79           -62.87
249.12          99.53           -4.22
256.05          99.38           56.46
263.17          99.39           118.83
270.48          99.51           -177.78
278.00          99.57           -113.37
285.73          99.56           -46.85
293.67          99.47           22.48
301.83          99.45           94.21
310.22          99.40           167.93
318.84          99.19           -116.64
327.70          99.05           -38.58
336.81          98.87           42.32
346.17          98.79           125.43
355.80          98.79           -149.58
365.68          98.70           -63.30
375.85          98.47           26.13
386.29          98.22           118.36
397.03          98.08           -145.50
408.07          97.96           -45.68
419.41          98.04           56.07
431.07          97.97           160.14
443.05          97.85           -92.80
455.36          97.74           17.41
468.02          97.75           130.32
481.03          97.70           -112.50
494.40          97.85           7.92
508.14          98.02           128.29
522.26          97.93           -107.28
536.78          97.80           19.87
551.70          97.47           150.69
567.03          97.06           -73.12
582.79          96.77           67.00
598.99          96.56           -149.45
615.64          96.09           -3.55
632.75          95.44           148.93
650.34          94.79           -52.47
668.42          93.77           112.28
686.99          93.07           -77.47
706.09          92.65           97.69
725.71          92.33           -84.73
745.89          91.74           98.92
766.62          91.36           -72.79
787.93          91.39           119.51
809.83          91.06           -43.66
832.33          90.84           159.29
855.47          90.26           2.24
879.25          89.66           -141.19
903.68          88.51           88.59
928.80          87.98           -36.88
954.62          87.23           -158.64
981.15          86.61           87.03
1008.42         86.73           -16.50
1036.45         87.56           -117.57
1065.26         88.28           151.09
1094.87         89.28           65.38
1125.30         89.90           -29.08
1156.58         90.09           -144.63
1188.72         90.30           101.77
1221.76         90.57           -4.99
1255.72         90.74           -107.41
1290.62         90.42           155.99
1326.50         89.72           69.22
1363.37         88.85           -20.68
1401.26         88.44           -112.52
1440.21         88.18           -179.01
1480.24         87.63           148.15
1521.38         86.88           124.78
1563.67         86.14           124.49
1607.13         86.99           136.17
1651.80         88.52           156.14
1697.71         89.98           -168.38
1744.90         90.46           -104.57
1793.40         90.85           -20.47
1843.24         91.15           71.45
1894.48         91.32           176.76
1947.13         91.44           -70.36
2001.25         91.32           51.82
2056.88         90.81           -167.07
2114.05         89.79           -10.52
2172.81         88.97           163.68
2233.20         87.98           -7.55
2295.27         86.97           -161.83
2359.07         85.76           61.70
2424.64         84.70           -57.81
2492.03         83.60           -161.87
2561.29         82.38           101.24
2632.48         81.24           4.65
2705.65         80.03           -72.85
2780.86         79.28           -134.17
2858.15         78.60           -178.23
2937.59         78.44           156.98
3019.24         78.20           152.03
3103.16         78.38           171.44
3189.41         79.00           -146.19
3278.06         79.49           -60.41
3369.17         80.05           51.65
3462.82         79.87           -171.50
3559.06         79.65           -8.64
3657.99         79.41           -177.93
3759.66         79.17           38.37
3864.16         78.83           -114.21
3971.56         78.21           112.13
4081.95         77.52           1.33
4195.41         76.77           -116.30
4312.02         76.36           151.46
4431.87         75.67           52.62
4555.05         75.56           -54.08
4681.66         75.17           -130.34
4811.78         75.98           -156.25
4945.53         77.04           -127.71
5082.99         77.41           -67.79
5224.27         77.69           61.85
5369.47         77.87           -123.98
5518.72         77.91           108.51
5672.11         78.00           15.96
5829.76         77.90           -100.25
5991.80         77.40           -173.40
6158.34         76.59           154.23
6329.51         76.08           169.84
6505.44         76.00           -130.98
6686.25         75.84           -29.54
6872.10         75.58           70.48
7063.10         75.93           -152.54
7259.42         76.99           118.80
7461.19         78.27           92.67
7668.58         78.52           111.27
7881.72         78.30           158.38
8100.79         77.86           -150.84
8325.95         77.54           -36.85
8557.37         77.90           157.91
8795.22         78.44           102.23
9039.68         78.29           108.70
9290.93         77.14           -179.77
9549.17         76.46           -81.13
9814.59         76.57           87.75
10087.38        76.68           23.29
10367.76        76.65           -73.74
10655.93        76.17           28.45
10952.11        75.39           101.10
11256.52        74.24           -113.80
11569.39        74.05           80.11
11890.96        74.25           -114.20
12221.46        74.31           136.43
12561.16        74.17           112.78
12910.29        74.22           -165.19
13269.13        74.18           -0.98
13637.94        73.89           89.83
14017.00        73.28           71.09
14406.60        73.74           -89.28
14807.03        72.98           -68.59
15218.59        72.01           93.13
15641.58        71.57           -27.75
16076.34        71.21           -40.52
16523.17        70.94           33.75
16982.43        70.51           17.56
17454.45        70.52           -28.88
17939.60        69.86           26.33
18438.22        68.48           119.23
18950.71        68.01           175.53
19477.44        71.09           -32.61
20018.81        74.16           -59.45
20575.22        74.65           35.58
21147.11        75.26           -168.22
21734.88        75.92           132.58
