Freq [Hz]       dBSPL           Phase [Deg]
20.00           62.89           7.53
20.56           62.91           2.50
21.13           62.79           -3.16
21.71           62.54           -9.47
22.32           62.20           -16.39
22.94           61.79           -28.44
23.58           61.18           -42.60
24.23           60.33           -58.03
24.90           59.18           -74.31
25.60           57.67           -90.88
26.31           55.74           -107.01
27.04           53.43           -121.77
27.79           50.97           -134.21
28.56           48.88           -143.41
29.36           48.25           -148.57
30.17           49.90           -149.00
31.01           52.99           -144.14
31.87           56.23           -133.61
32.76           58.99           -117.32
33.67           61.15           -95.70
34.61           62.82           -69.79
35.57           64.12           -41.21
36.56           65.22           -12.20
37.57           66.25           14.29
38.62           67.35           35.29
39.69           68.55           48.62
40.79           69.81           53.15
41.93           71.02           49.17
43.09           71.99           38.69
44.29           72.66           24.58
45.52           73.10           9.98
46.79           73.42           -1.81
48.09           73.73           -7.72
49.42           74.19           -5.82
50.80           75.07           4.48
52.21           76.51           22.21
53.66           78.27           44.64
55.15           79.90           68.19
56.69           81.29           90.06
58.26           82.53           108.64
59.88           83.81           123.57
61.54           85.24           135.05
63.26           86.79           143.41
65.01           88.35           149.13
66.82           89.82           153.17
68.68           91.19           156.87
70.59           92.47           161.29
72.55           93.68           166.88
74.57           94.81           173.35
76.64           95.84           -179.78
78.77           96.77           -172.74
80.96           97.62           -165.44
83.21           98.39           -157.63
85.52           99.08           -149.13
87.90           99.69           -139.86
90.34           100.22          -129.80
92.85           100.66          -118.90
95.43           101.03          -107.08
98.08           101.33          -94.17
100.81          101.58          -80.10
103.61          101.81          -64.92
106.49          102.02          -48.67
109.45          102.24          -31.36
112.49          102.44          -13.10
115.62          102.63          5.98
118.84          102.78          25.77
122.14          102.85          46.24
125.53          102.84          67.62
129.02          102.75          90.25
132.61          102.60          114.36
136.29          102.37          139.92
140.08          102.11          166.93
143.98          101.81          -164.53
147.98          101.49          -134.42
152.09          101.18          -102.72
156.32          100.91          -69.47
160.66          100.70          -34.73
165.13          100.56          1.31
169.72          100.48          38.50
174.44          100.41          76.86
179.28          100.32          116.61
184.27          100.28          157.82
189.39          100.31          -159.72
194.65          100.39          -116.25
200.06          100.44          -71.97
205.62          100.41          -26.76
211.34          100.25          20.24
217.21          100.04          69.38
223.25          99.80           120.56
229.46          99.56           172.96
235.83          99.28           -132.96
242.39          98.92           -77.04
249.12          98.56           -18.79
256.05          98.30           41.75
263.17          98.23           104.00
270.48          98.27           167.54
278.00          98.33           -127.91
285.73          98.31           -61.11
293.67          98.20           8.14
301.83          98.15           79.81
310.22          98.13           153.15
318.84          98.09           -131.27
