Freq [Hz]       dBSPL           Phase [Deg]
20.00           62.72           -85.03
20.56           63.02           -83.50
21.13           63.10           -81.21
21.71           62.95           -78.10
22.32           62.64           -74.18
22.94           62.40           -67.83
23.58           61.98           -59.42
24.23           61.29           -49.35
24.90           60.27           -38.05
25.60           58.78           -26.17
26.31           56.73           -14.63
27.04           54.08           -4.59
27.79           51.03           2.76
28.56           48.07           6.45
29.36           46.63           5.77
30.17           48.33           0.30
31.01           51.96           -10.00
31.87           55.62           -24.75
32.76           58.53           -43.19
33.67           60.65           -64.38
34.61           62.15           -87.41
35.57           63.21           -111.62
36.56           64.03           -136.69
37.57           64.74           -162.64
38.62           65.46           170.38
39.69           66.24           142.43
40.79           67.11           113.87
41.93           68.06           85.68
43.09           68.97           59.63
44.29           69.74           37.69
45.52           70.38           21.57
46.79           70.97           12.55
48.09           71.65           11.28
49.42           72.65           17.53
50.80           74.21           30.40
52.21           76.33           48.28
53.66           78.60           68.79
55.15           80.62           89.23
56.69           82.32           107.61
58.26           83.81           122.88
59.88           85.25           134.98
61.54           86.74           144.50
63.26           88.28           152.05
65.01           89.81           158.17
66.82           91.27           163.47
68.68           92.64           168.69
70.59           93.93           174.42
72.55           95.13           -179.11
74.57           96.25           -172.05
76.64           97.30           -164.67
78.77           98.28           -157.06
80.96           99.15           -149.12
83.21           99.92           -140.61
85.52           100.60          -131.38
87.90           101.22          -121.31
90.34           101.77          -110.39
92.85           102.26          -98.59
95.43           102.69          -85.85
98.08           103.06          -72.13
100.81          103.38          -57.38
103.61          103.68          -41.63
106.49          103.94          -24.87
109.45          104.18          -7.09
112.49          104.38          11.66
115.62          104.54          31.30
118.84          104.64          51.84
122.14          104.67          73.40
125.53          104.64          96.22
129.02          104.56          120.50
132.61          104.45          146.29
136.29          104.32          173.50
140.08          104.18          -157.95
143.98          104.04          -127.99
147.98          103.90          -96.52
152.09          103.82          -63.55
156.32          103.81          -29.34
160.66          103.86          5.84
165.13          103.92          41.89
169.72          103.97          78.91
174.44          103.99          117.13
179.28          103.98          156.78
184.27          103.98          -162.15
189.39          103.98          -119.75
194.65          103.96          -76.04
200.06          103.89          -30.94
205.62          103.75          15.92
211.34          103.58          64.91
217.21          103.44          116.02
223.25          103.38          168.91
229.46          103.34          -136.91
235.83          103.28          -81.58
242.39          103.19          -24.63
249.12          103.11          34.12
256.05          103.09          94.71
263.17          103.16          156.83
270.48          103.26          -139.83
278.00          103.27          -75.13
285.73          103.19          -8.19
293.67          103.09          61.69
301.83          103.03          134.05
310.22          102.96          -151.66
318.84          102.88          -75.77
327.70          102.69          3.02
336.81          102.52          84.46
346.17          102.40          168.08
355.80          102.27          -106.66
365.68          101.99          -18.55
375.85          101.74          73.14
386.29          101.49          167.19
397.03          101.21          -94.86
408.07          101.18          6.14
419.41          101.23          108.83
431.07          101.05          -146.17
443.05          100.77          -37.01
455.36          100.75          75.00
468.02          100.63          -171.06
481.03          100.45          -51.45
494.40          100.47          71.39
508.14          100.41          -163.95
522.26          100.27          -35.03
536.78          100.10          97.55
551.70          100.13          -125.31
567.03          100.30          15.08
582.79          100.51          159.38
598.99          100.80          -55.20
615.64          100.77          93.06
632.75          100.58          -112.91
650.34          100.37          45.97
668.42          100.11          -148.97
686.99          100.11          19.75
706.09          99.82           -167.13
725.71          99.55           10.98
745.89          99.24           -165.03
766.62          99.03           23.21
787.93          98.92           -143.54
809.83          98.65           55.14
832.33          98.40           -100.94
855.47          97.77           110.26
879.25          97.37           -31.42
903.68          96.95           -167.72
928.80          96.45           61.04
954.62          95.53           -63.07
981.15          94.93           -178.27
1008.42         94.55           74.38
1036.45         94.24           -25.63
1065.26         94.25           -120.49
1094.87         94.18           150.91
1125.30         93.62           67.14
1156.58         93.45           -0.09
1188.72         93.99           -63.25
1221.76         94.61           -121.58
1255.72         94.95           -174.81
1290.62         95.05           138.09
1326.50         94.95           95.43
1363.37         94.62           53.63
1401.26         94.09           12.74
1440.21         93.80           -27.31
1480.24         92.54           -63.01
1521.38         90.97           -110.51
1563.67         89.33           -142.93
1607.13         89.90           -165.05
1651.80         90.77           -179.42
1697.71         91.90           -174.89
1744.90         93.04           -150.97
1793.40         93.71           -104.04
1843.24         94.48           -44.60
1894.48         95.11           49.42
1947.13         95.42           162.54
2001.25         95.51           -72.89
2056.88         95.13           72.27
2114.05         94.82           -126.71
2172.81         94.34           51.18
2233.20         94.03           -116.26
2295.27         93.41           94.17
2359.07         92.89           -38.93
2424.64         91.87           -155.33
2492.03         91.23           107.46
2561.29         90.70           24.25
2632.48         89.94           -41.77
2705.65         89.07           -92.52
2780.86         87.98           -166.47
2858.15         87.07           112.51
2937.59         86.08           53.75
3019.24         85.29           15.95
3103.16         84.86           -0.89
3189.41         84.23           2.57
3278.06         84.31           32.61
3369.17         85.01           83.34
3462.82         85.50           -179.01
3559.06         85.53           -15.98
3657.99         85.47           146.78
3759.66         85.23           -71.80
