Freq [Hz]       dBSPL           Phase [Deg]
20.00           90.20           -153.93
20.56           90.13           -147.70
21.13           90.05           -141.41
21.71           89.96           -135.06
22.32           89.85           -128.67
22.94           89.66           -116.77
23.58           89.42           -103.89
24.23           89.14           -90.77
24.90           88.82           -77.39
25.60           88.46           -63.67
26.31           88.07           -49.54
27.04           87.65           -34.87
27.79           87.22           -19.57
28.56           86.78           -3.56
29.36           86.34           13.18
30.17           85.91           30.62
31.01           85.50           48.66
31.87           85.10           67.14
32.76           84.72           85.85
33.67           84.34           104.64
34.61           83.97           123.45
35.57           83.63           142.39
36.56           83.34           161.74
37.57           83.16           -178.00
38.62           83.14           -156.44
39.69           83.33           -133.62
40.79           83.64           -110.09
41.93           83.91           -87.17
43.09           83.99           -66.94
44.29           83.87           -51.61
45.52           83.60           -42.86
46.79           83.21           -41.66
48.09           82.64           -48.02
49.42           81.79           -60.97
50.80           80.59           -79.20
52.21           79.16           -101.11
53.66           78.45           -124.75
55.15           79.66           -147.88
56.69           82.14           -168.35
58.26           84.77           175.76
59.88           87.11           165.75
61.54           89.06           161.44
63.26           90.64           161.58
65.01           91.91           164.28
66.82           92.99           168.31
68.68           94.03           173.61
70.59           95.20           -179.33
72.55           96.57           -170.60
74.57           97.93           -161.32
76.64           99.01           -152.74
78.77           99.83           -145.27
80.96           100.58          -138.22
83.21           101.38          -130.32
85.52           102.22          -120.60
87.90           102.99          -109.01
90.34           103.59          -96.44
92.85           104.02          -83.80
95.43           104.41          -71.07
98.08           104.89          -57.52
100.81          105.42          -42.63
103.61          105.78          -26.32
106.49          106.00          -8.87
109.45          106.19          9.25
112.49          106.39          27.93
115.62          106.56          47.72
118.84          106.69          69.17
122.14          106.73          91.92
125.53          106.68          115.44
129.02          106.65          140.50
132.61          106.68          167.42
136.29          106.66          -164.84
140.08          106.65          -135.91
143.98          106.64          -105.27
147.98          106.56          -73.60
152.09          106.66          -41.04
156.32          106.72          -6.55
160.66          106.73          28.82
165.13          106.85          64.28
169.72          106.82          101.93
174.44          106.87          140.43
179.28          106.77          -179.16
184.27          106.78          -138.02
189.39          106.78          -94.52
194.65          106.63          -49.92
200.06          106.71          -3.91
205.62          106.52          44.44
211.34          106.51          93.81
217.21          106.46          145.73
223.25          106.48          -161.52
229.46          106.56          -107.28
235.83          106.53          -51.07
242.39          106.55          5.88
249.12          106.48          65.04
256.05          106.42          125.60
263.17          106.42          -171.37
270.48          106.46          -107.25
278.00          106.45          -40.96
285.73          106.33          27.60
293.67          106.23          98.78
301.83          106.19          172.32
310.22          106.17          -111.46
318.84          106.07          -33.16
327.70          106.01          46.76
336.81          105.87          129.63
346.17          105.81          -145.07
355.80          105.81          -57.45
365.68          105.74          32.69
375.85          105.74          125.47
386.29          105.76          -139.43
397.03          105.77          -42.22
408.07          105.78          59.05
419.41          105.95          162.67
431.07          105.99          -91.34
443.05          105.94          18.16
455.36          106.00          130.45
468.02          106.00          -114.66
481.03          105.90          4.90
494.40          105.97          128.16
508.14          106.13          -106.03
522.26          106.15          23.84
536.78          106.37          157.30
551.70          106.54          -66.23
567.03          106.74          74.38
582.79          106.90          -141.76
598.99          107.04          5.33
615.64          107.01          155.46
632.75          106.74          -47.98
650.34          106.64          113.54
668.42          106.36          -80.18
686.99          106.26          91.99
706.09          106.12          -91.71
725.71          106.12          90.04
745.89          106.19          -82.96
766.62          106.32          108.95
787.93          106.64          -53.49
809.83          106.98          147.66
832.33          107.44          -5.91
855.47          107.65          -155.61
879.25          107.87          61.21
903.68          107.99          -75.80
928.80          108.10          153.03
954.62          108.07          27.59
981.15          108.03          -90.69
1008.42         107.82          158.08
1036.45         107.54          54.54
1065.26         107.24          -39.97
1094.87         107.13          -127.11
1125.30         107.25          153.93
1156.58         107.66          81.33
1188.72         107.91          15.57
1221.76         108.09          -42.12
1255.72         108.24          -91.57
1290.62         108.26          -133.06
1326.50         108.33          -164.81
1363.37         108.48          172.18
1401.26         108.72          158.00
1440.21         108.57          153.22
1480.24         108.57          159.62
1521.38         108.60          176.53
1563.67         108.66          -148.58
1607.13         108.89          -102.94
1651.80         109.26          -50.57
1697.71         109.52          14.01
1744.90         109.60          89.88
1793.40         109.65          179.74
1843.24         109.69          -78.31
1894.48         109.77          37.13
1947.13         109.95          161.01
2001.25         110.01          -65.64
2056.88         109.83          85.08
2114.05         109.47          -109.52
2172.81         109.15          72.83
2233.20         108.75          -89.42
2295.27         108.21          126.81
2359.07         107.70          0.15
2424.64         107.16          -110.24
2492.03         106.65          158.26
2561.29         106.39          83.63
2632.48         106.47          27.87
2705.65         106.60          -10.20
2780.86         106.82          -28.85
2858.15         107.16          -30.02
2937.59         107.41          -11.22
3019.24         107.71          28.45
3103.16         108.09          89.85
3189.41         108.46          171.39
3278.06         108.80          -83.97
3369.17         109.04          43.37
3462.82         109.15          -166.41
3559.06         109.17          7.63
3657.99         109.11          -152.63
3759.66         109.01          74.72
3864.16         108.86          -31.76
3971.56         108.68          -109.63
4081.95         108.55          -160.93
4195.41         108.57          177.70
4312.02         108.87          -175.00
4431.87         109.18          -138.71
4555.05         109.36          -72.15
4681.66         109.42          26.95
4811.78         109.33          156.25
4945.53         109.24          -39.64
5082.99         109.02          160.36
5224.27         108.69          35.75
5369.47         108.21          -48.90
5518.72         107.89          -95.19
5672.11         107.99          -103.26
5829.76         108.21          -73.46
5991.80         108.34          -0.30
6158.34         108.46          111.08
6329.51         108.79          -90.35
6505.44         109.30          111.05
6686.25         109.74          -5.90
6872.10         109.90          -76.00
7063.10         109.84          -94.84
7259.42         109.99          -63.57
7461.19         110.38          18.16
7668.58         110.64          148.13
7881.72         110.60          -28.20
8100.79         110.35          -146.91
8325.95         110.10          155.19
8557.37         110.40          156.36
8795.22         110.95          -145.20
9039.68         111.29          -25.80
9290.93         111.43          157.26
9549.17         111.55          46.52
9814.59         111.83          2.52
10087.38        112.02          24.56
10367.76        112.06          116.27
10655.93        111.97          -81.05
10952.11        111.46          158.65
11256.52        111.02          118.98
11569.39        110.84          157.41
11890.96        110.97          -84.12
12221.46        111.05          116.98
12561.16        111.10          45.30
12910.29        111.25          60.25
13269.13        111.18          165.51
13637.94        111.10          3.25
14017.00        111.12          -62.82
14406.60        111.17          -32.19
14807.03        110.98          98.66
15218.59        110.77          -25.31
15641.58        110.64          -44.69
16076.34        110.19          44.31
16523.17        109.93          -114.31
16982.43        109.68          -156.08
17454.45        109.36          -79.97
17939.60        108.57          117.98
18438.22        107.56          81.48
18950.71        105.83          -96.20
19477.44        103.28          -144.13
20018.81        101.42          162.94
20575.22        100.60          -80.84
21147.11        99.75           130.94
21734.88        98.39           110.89
