Freq [Hz]       dBSPL           Phase [Deg]
20.00           62.63           -1.07
20.56           62.95           -7.89
21.13           63.19           -15.59
21.71           63.32           -24.21
22.32           63.35           -33.67
22.94           63.45           -50.07
23.58           63.43           -69.19
24.23           63.26           -89.73
24.90           62.94           -110.89
25.60           62.46           -131.59
26.31           61.86           -150.39
27.04           61.17           -165.54
27.79           60.54           -175.46
28.56           60.12           -179.05
29.36           60.12           -175.85
30.17           60.66           -166.14
31.01           61.67           -151.04
31.87           62.97           -132.71
32.76           64.32           -114.15
33.67           65.60           -98.54
34.61           66.79           -88.79
35.57           67.90           -87.03
36.56           68.99           -94.43
37.57           70.18           -111.03
38.62           71.57           -135.84
39.69           73.22           -167.02
40.79           75.11           158.13
41.93           77.11           122.59
43.09           79.03           89.18
44.29           80.69           60.36
45.52           82.03           38.05
46.79           83.02           23.53
48.09           83.67           17.42
49.42           84.03           19.83
50.80           84.18           30.03
52.21           84.16           46.25
53.66           83.99           65.66
55.15           83.77           85.15
56.69           83.70           102.61
58.26           84.02           117.16
59.88           84.75           128.99
61.54           85.70           138.25
63.26           86.79           144.86
65.01           88.05           148.87
66.82           89.52           151.15
68.68           91.06           153.53
70.59           92.46           157.47
72.55           93.61           163.40
74.57           94.61           170.56
76.64           95.57           177.89
78.77           96.53           -175.13
80.96           97.42           -168.34
83.21           98.19           -161.15
85.52           98.86           -153.06
87.90           99.44           -143.86
90.34           99.96           -133.70
92.85           100.44          -122.82
95.43           100.82          -111.22
98.08           101.11          -98.64
100.81          101.33          -84.85
103.61          101.55          -69.78
106.49          101.77          -53.57
109.45          101.98          -36.40
112.49          102.18          -18.35
115.62          102.38          0.59
118.84          102.54          20.23
122.14          102.63          40.48
125.53          102.64          61.69
129.02          102.58          83.97
132.61          102.46          107.42
136.29          102.30          132.37
140.08          102.08          158.93
143.98          101.78          -173.01
147.98          101.44          -143.45
152.09          101.12          -112.20
156.32          100.85          -79.56
160.66          100.60          -45.51
165.13          100.36          -9.71
169.72          100.13          27.54
174.44          99.93           65.92
179.28          99.78           105.67
184.27          99.70           146.89
189.39          99.68           -170.54
194.65          99.74           -126.91
200.06          99.82           -82.58
205.62          99.82           -37.33
211.34          99.72           9.17
217.21          99.51           57.73
223.25          99.34           109.29
229.46          99.12           162.33
235.83          98.85           -144.50
242.39          98.46           -89.12
249.12          98.02           -31.55
256.05          97.68           28.59
263.17          97.50           90.48
270.48          97.49           153.98
278.00          97.44           -142.10
285.73          97.32           -77.20
293.67          97.12           -8.14
301.83          97.02           63.38
310.22          96.98           136.15
318.84          97.03           -148.80
327.70          96.75           -71.26
336.81          96.51           9.26
346.17          96.24           92.13
355.80          96.10           177.80
365.68          96.05           -95.42
375.85          95.87           -6.55
386.29          95.52           84.58
397.03          94.80           -179.74
408.07          94.59           -80.24
419.41          94.51           22.17
431.07          94.35           127.37
443.05          94.33           -124.58
455.36          94.15           -14.45
468.02          93.96           100.35
481.03          94.07           -139.97
494.40          94.70           -16.55
508.14          95.31           105.63
522.26          95.78           -130.36
536.78          96.12           -3.74
551.70          96.30           125.17
567.03          96.25           -101.59
582.79          96.18           36.08
598.99          96.20           175.89
615.64          95.90           -41.34
632.75          95.39           106.09
650.34          94.76           -99.47
668.42          93.96           61.19
686.99          93.23           -133.93
706.09          92.47           37.38
725.71          92.19           -147.37
745.89          91.88           32.56
766.62          91.38           -144.16
787.93          90.98           44.51
809.83          90.53           -122.93
832.33          90.04           79.61
855.47          89.34           -73.12
879.25          88.77           138.53
903.68          87.55           0.56
928.80          86.12           -126.70
954.62          84.29           116.27
981.15          84.42           3.58
1008.42         84.44           -103.17
1036.45         84.78           133.46
1065.26         85.43           -4.43
1094.87         86.49           -133.79
1125.30         88.05           101.92
1156.58         89.00           -24.25
1188.72         89.56           -147.50
1221.76         89.55           99.63
1255.72         89.63           1.28
1290.62         89.65           -87.89
1326.50         89.45           -134.32
1363.37         88.90           -173.78
1401.26         88.23           135.36
1440.21         87.48           87.41
1480.24         85.88           53.41
1521.38         85.53           32.78
1563.67         85.52           23.25
1607.13         85.68           28.76
1651.80         86.95           41.53
1697.71         88.50           65.29
1744.90         88.97           117.52
1793.40         89.11           -163.25
1843.24         89.46           -71.89
1894.48         89.64           30.30
1947.13         89.72           138.88
2001.25         89.50           -101.22
2056.88         88.96           37.59
2114.05         87.75           -170.70
2172.81         86.75           0.78
2233.20         85.76           148.00
2295.27         84.54           -48.70
2359.07         83.56           127.10
2424.64         81.49           -36.56
2492.03         80.49           175.85
2561.29         79.52           14.98
2632.48         78.19           -169.00
2705.65         78.03           16.23
2780.86         77.69           -156.64
2858.15         77.56           64.30
2937.59         76.96           -54.67
3019.24         77.13           -168.98
3103.16         77.46           71.45
3189.41         77.87           -20.64
3278.06         78.41           -30.53
3369.17         78.14           -9.60
3462.82         78.21           60.76
3559.06         77.79           173.05
3657.99         77.46           -69.90
3759.66         77.40           18.32
3864.16         76.82           160.37
3971.56         76.36           -63.58
4081.95         75.42           101.00
4195.41         75.23           -66.39
4312.02         74.40           147.62
4431.87         74.35           -18.50
4555.05         74.24           149.14
4681.66         74.16           10.50
4811.78         74.55           -87.68
4945.53         75.30           -123.59
5082.99         75.54           -117.44
5224.27         75.67           -76.50
5369.47         75.60           3.15
5518.72         75.56           149.91
5672.11         75.49           7.43
5829.76         75.44           -93.93
5991.80         74.95           -135.35
6158.34         74.29           -136.00
6329.51         73.83           -89.05
6505.44         73.89           0.13
6686.25         73.60           132.51
6872.10         73.61           -43.38
7063.10         74.47           -141.12
7259.42         75.41           -163.81
7461.19         76.52           -124.25
7668.58         76.68           -75.29
7881.72         76.44           28.19
8100.79         76.14           140.31
8325.95         75.91           -113.85
8557.37         76.08           35.27
8795.22         76.37           -120.58
9039.68         75.87           142.71
9290.93         74.73           110.53
9549.17         73.88           178.11
9814.59         74.10           -44.52
10087.38        74.15           63.48
10367.76        74.04           130.78
10655.93        73.72           97.17
10952.11        73.31           2.78
11256.52        72.66           -69.80
11569.39        72.50           -154.47
11890.96        72.41           139.41
12221.46        72.47           153.66
12561.16        72.02           -79.67
12910.29        72.02           159.87
13269.13        72.05           61.02
13637.94        71.78           163.59
14017.00        71.35           57.60
14406.60        70.96           160.96
14807.03        70.06           -5.49
15218.59        69.11           -77.34
15641.58        68.85           -136.84
16076.34        68.42           11.05
16523.17        68.09           -28.48
16982.43        66.57           143.09
17454.45        66.19           -137.36
17939.60        66.81           91.56
18438.22        66.32           60.13
18950.71        66.09           -126.02
19477.44        71.83           -103.81
20018.81        75.33           -171.03
20575.22        75.87           79.39
21147.11        76.51           10.39
21734.88        77.23           -40.80
