Freq [Hz]       dBSPL           Phase [Deg]
20.00           57.98           -26.65
20.56           57.72           -26.09
21.13           57.47           -24.83
21.71           57.22           -22.76
22.32           56.97           -19.88
22.94           56.46           -15.38
23.58           55.89           -9.04
24.23           55.35           -1.10
24.90           54.84           8.00
25.60           54.41           17.60
26.31           54.10           26.73
27.04           53.99           34.14
27.79           54.14           38.58
28.56           54.62           39.00
29.36           55.43           34.64
30.17           56.51           25.05
31.01           57.75           10.18
31.87           59.01           -9.54
32.76           60.15           -33.28
33.67           61.15           -59.97
34.61           62.03           -88.52
35.57           62.83           -118.05
36.56           63.65           -147.94
37.57           64.65           -177.91
38.62           65.98           152.13
39.69           67.62           122.24
40.79           69.28           92.45
41.93           70.49           63.07
43.09           71.06           34.83
44.29           71.19           8.83
45.52           71.13           -13.50
46.79           70.97           -30.36
48.09           70.67           -39.62
49.42           70.17           -39.57
50.80           70.04           -29.69
52.21           72.92           -11.05
53.66           77.53           13.54
55.15           80.68           40.63
56.69           82.53           67.43
58.26           83.74           92.23
59.88           84.84           114.10
61.54           86.09           132.00
63.26           87.54           145.13
65.01           89.05           153.39
66.82           90.43           158.01
68.68           91.67           161.40
70.59           92.88           165.54
72.55           94.06           171.31
74.57           95.20           178.26
76.64           96.25           -174.42
78.77           97.20           -167.15
80.96           98.05           -159.75
83.21           98.81           -151.82
85.52           99.50           -143.11
87.90           100.10          -133.56
90.34           100.64          -123.21
92.85           101.09          -112.03
95.43           101.46          -99.90
98.08           101.78          -86.68
100.81          102.06          -72.35
103.61          102.31          -56.94
106.49          102.54          -40.48
109.45          102.76          -22.97
112.49          102.97          -4.52
115.62          103.15          14.75
118.84          103.28          34.75
122.14          103.33          55.56
125.53          103.30          77.41
129.02          103.20          100.64
132.61          103.05          125.42
136.29          102.86          151.70
140.08          102.63          179.35
143.98          102.37          -151.53
147.98          102.10          -120.75
152.09          101.86          -88.37
156.32          101.68          -54.50
160.66          101.58          -19.31
165.13          101.54          16.92
169.72          101.52          54.06
174.44          101.50          92.38
179.28          101.47          132.11
184.27          101.47          173.20
189.39          101.52          -144.48
194.65          101.57          -101.14
200.06          101.57          -56.82
205.62          101.47          -11.15
211.34          101.28          36.53
217.21          101.07          86.67
223.25          100.93          138.72
229.46          100.81          -167.86
235.83          100.61          -113.15
242.39          100.38          -56.54
249.12          100.16          2.19
256.05          100.06          62.90
263.17          100.09          125.27
270.48          100.22          -171.43
278.00          100.26          -106.99
285.73          100.17          -40.48
293.67          100.08          28.99
301.83          100.07          100.68
310.22          100.02          174.45
318.84          99.86           -109.58
327.70          99.71           -31.48
336.81          99.56           49.39
346.17          99.49           132.50
355.80          99.49           -142.66
365.68          99.36           -56.34
375.85          99.12           33.29
386.29          98.87           125.77
397.03          98.70           -138.52
408.07          98.58           -39.05
419.41          98.65           62.73
431.07          98.55           166.74
443.05          98.38           -86.14
455.36          98.27           24.22
468.02          98.26           136.91
481.03          98.17           -105.86
494.40          98.38           13.36
508.14          98.41           134.30
522.26          98.24           -100.57
536.78          98.00           27.30
551.70          97.58           159.28
567.03          97.14           -63.22
582.79          96.74           77.96
598.99          96.57           -137.25
615.64          96.06           10.52
632.75          95.25           165.50
650.34          94.68           -35.09
668.42          93.75           130.76
686.99          93.33           -58.06
706.09          93.09           117.03
725.71          92.90           -65.11
745.89          92.68           118.94
766.62          92.50           -52.58
787.93          92.62           139.06
809.83          92.33           -24.05
832.33          92.14           177.72
855.47          91.57           23.51
879.25          90.96           -118.55
903.68          89.97           110.32
928.80          89.49           -16.62
954.62          88.58           -138.93
981.15          87.74           106.83
1008.42         87.77           2.51
1036.45         88.27           -97.87
1065.26         88.81           169.53
1094.87         89.62           80.43
1125.30         89.97           -12.71
1156.58         90.22           -128.24
1188.72         90.55           119.46
1221.76         90.73           14.03
1255.72         90.91           -87.46
1290.62         90.59           176.18
1326.50         89.95           88.96
1363.37         89.22           -1.84
1401.26         88.91           -92.69
