Freq [Hz]       dBSPL           Phase [Deg]
20.00           66.91           -16.85
20.56           66.83           -6.86
21.13           66.76           3.33
21.71           66.73           13.56
22.32           66.72           23.73
22.94           66.69           42.27
23.58           66.72           62.41
24.23           66.82           82.81
24.90           67.01           103.40
25.60           67.27           124.29
26.31           67.57           145.74
27.04           67.90           168.19
27.79           68.24           -168.00
28.56           68.56           -142.75
29.36           68.87           -116.27
30.17           69.16           -89.18
31.01           69.44           -62.55
31.87           69.71           -37.93
32.76           70.01           -17.30
33.67           70.37           -2.57
34.61           70.82           4.61
35.57           71.43           3.18
36.56           72.24           -7.27
37.57           73.32           -26.35
38.62           74.73           -52.96
39.69           76.48           -85.32
40.79           78.53           -121.01
41.93           80.81           -157.27
43.09           83.18           168.66
44.29           85.41           139.19
45.52           87.20           115.97
46.79           88.30           99.69
48.09           88.74           90.04
49.42           88.81           86.12
50.80           88.71           86.88
52.21           88.48           91.16
53.66           88.02           97.69
55.15           87.13           105.17
56.69           85.63           112.48
58.26           84.13           118.87
59.88           84.21           124.02
61.54           85.37           128.24
63.26           86.48           132.12
65.01           87.59           136.28
66.82           88.92           141.01
68.68           90.48           146.12
70.59           91.99           151.19
72.55           93.22           156.10
74.57           94.20           161.24
76.64           95.09           167.21
78.77           95.98           174.13
80.96           96.85           -178.40
83.21           97.68           -170.84
85.52           98.39           -163.16
87.90           98.97           -154.84
90.34           99.45           -145.44
92.85           99.90           -134.94
95.43           100.29          -123.57
98.08           100.60          -111.39
100.81          100.83          -98.19
103.61          101.04          -83.71
106.49          101.24          -67.93
109.45          101.46          -51.07
112.49          101.72          -33.32
115.62          101.97          -14.75
118.84          102.17          4.54
122.14          102.33          24.44
125.53          102.42          45.04
129.02          102.42          66.66
132.61          102.31          89.42
136.29          102.12          113.14
140.08          101.89          138.55
143.98          101.67          165.69
147.98          101.41          -166.08
152.09          101.13          -136.26
156.32          100.89          -105.14
160.66          100.65          -73.16
165.13          100.40          -39.69
169.72          100.21          -3.96
174.44          100.01          33.21
179.28          99.68           71.82
184.27          99.39           112.42
189.39          99.18           154.55
194.65          99.08           -161.92
200.06          99.10           -117.14
205.62          99.16           -71.33
211.34          99.23           -24.80
217.21          99.20           22.48
223.25          99.02           72.52
229.46          98.75           122.92
235.83          98.66           174.69
242.39          98.41           -132.42
249.12          98.02           -77.54
256.05          97.65           -20.08
263.17          97.39           39.37
270.48          97.19           101.16
278.00          97.22           163.36
285.73          97.43           -132.30
293.67          97.20           -65.55
301.83          97.10           4.39
310.22          96.96           75.41
318.84          96.78           146.61
327.70          96.60           -138.07
336.81          96.38           -60.52
346.17          96.21           18.72
355.80          95.90           100.13
365.68          95.62           -174.67
375.85          95.46           -87.60
386.29          95.24           1.50
397.03          95.15           93.93
408.07          95.04           -172.77
419.41          94.77           -74.99
431.07          94.43           24.73
443.05          94.05           128.49
455.36          93.89           -126.01
468.02          93.50           -19.95
481.03          92.67           92.14
494.40          92.27           -150.36
508.14          91.59           -27.26
522.26          91.32           98.86
536.78          91.05           -132.81
551.70          90.80           -1.16
567.03          90.72           134.12
582.79          90.34           -90.25
598.99          90.36           53.72
615.64          90.20           -162.55
632.75          89.36           -12.65
650.34          89.23           139.81
668.42          88.56           -63.38
686.99          88.04           103.41
706.09          87.38           -89.13
725.71          86.59           85.07
745.89          86.05           -93.17
766.62          85.70           94.29
787.93          86.10           -78.72
809.83          85.66           103.76
832.33          85.17           -88.03
855.47          84.65           73.55
879.25          83.93           -112.65
903.68          83.28           69.98
928.80          82.94           -101.14
954.62          83.10           88.26
981.15          81.78           -88.29
1008.42         81.55           90.16
1036.45         84.08           -79.04
1065.26         84.55           129.21
1094.87         84.62           -34.66
1125.30         85.15           156.55
1156.58         85.38           -9.25
1188.72         85.26           -169.16
1221.76         86.59           44.71
1255.72         86.83           -82.91
1290.62         86.03           156.53
1326.50         85.59           45.42
1363.37         85.88           -48.40
1401.26         86.45           -122.05
1440.21         86.33           177.33
1480.24         86.30           129.67
1521.38         85.44           96.91
1563.67         84.75           70.72
1607.13         85.09           46.66
1651.80         85.62           36.18
1697.71         86.29           39.52
1744.90         85.96           37.37
1793.40         86.00           26.98
1843.24         85.92           20.07
1894.48         85.82           -9.56
1947.13         85.72           -32.15
2001.25         85.69           -4.47
2056.88         85.22           39.60
2114.05         83.90           101.65
2172.81         82.99           171.49
2233.20         82.20           -136.41
2295.27         81.42           -79.23
2359.07         81.00           -9.83
2424.64         80.05           64.54
2492.03         80.11           138.55
2561.29         79.36           -168.28
2632.48         79.22           -147.33
2705.65         78.80           -138.69
2780.86         78.73           -59.30
2858.15         78.80           67.81
2937.59         78.93           -112.27
3019.24         79.14           106.55
3103.16         79.14           15.19
3189.41         79.60           -42.96
3278.06         79.72           -15.51
3369.17         79.57           53.81
3462.82         79.84           132.96
3559.06         79.64           -162.47
3657.99         79.58           -78.75
3759.66         79.28           9.21
3864.16         78.97           75.27
3971.56         78.59           126.35
4081.95         77.78           139.98
4195.41         77.73           120.77
4312.02         76.62           139.50
4431.87         76.03           177.67
4555.05         75.46           -123.13
4681.66         75.14           -66.00
4811.78         75.42           59.83
4945.53         75.15           -99.63
5082.99         74.77           -178.21
5224.27         74.58           -144.36
5369.47         74.39           -38.56
5518.72         74.44           130.42
5672.11         74.49           -29.57
5829.76         74.43           -171.01
5991.80         74.20           62.16
6158.34         73.94           -83.77
6329.51         74.16           169.23
6505.44         74.75           51.23
6686.25         75.07           -58.73
6872.10         75.30           -152.33
7063.10         75.76           174.75
7259.42         76.18           -122.96
7461.19         76.76           40.75
7668.58         76.94           -79.50
7881.72         76.84           154.71
8100.79         76.16           -18.29
8325.95         75.62           -155.34
8557.37         75.51           127.11
8795.22         75.77           74.80
9039.68         75.18           48.35
9290.93         74.33           83.08
9549.17         73.87           114.28
9814.59         74.53           -166.86
10087.38        74.85           -54.88
10367.76        75.04           44.88
10655.93        75.11           79.66
10952.11        74.92           65.22
11256.52        74.46           108.29
11569.39        74.10           124.46
11890.96        73.73           141.39
12221.46        73.43           -159.40
12561.16        72.29           41.23
12910.29        71.58           -36.12
13269.13        71.14           -148.51
13637.94        70.40           -43.91
14017.00        70.04           -138.44
14406.60        69.81           -62.40
14807.03        69.14           20.81
15218.59        68.69           -7.18
15641.58        68.41           -135.81
16076.34        68.28           121.23
16523.17        68.15           150.79
16982.43        66.12           -14.95
17454.45        65.99           101.70
17939.60        66.91           96.88
18438.22        66.61           9.22
18950.71        66.39           162.85
19477.44        71.82           130.48
20018.81        75.27           -121.74
20575.22        75.81           92.38
21147.11        76.44           36.63
21734.88        77.16           40.22
