Freq [Hz]       dBSPL           Phase [Deg]
20.00           61.17           155.73
20.56           61.24           165.31
21.13           61.37           174.45
21.71           61.57           -177.05
22.32           61.84           -169.29
22.94           62.28           -154.45
23.58           62.90           -139.92
24.23           63.65           -127.03
24.90           64.52           -115.80
25.60           65.44           -106.01
26.31           66.35           -97.21
27.04           67.19           -88.70
27.79           67.92           -79.67
28.56           68.53           -69.35
29.36           69.02           -57.05
30.17           69.41           -42.13
31.01           69.71           -24.08
31.87           69.95           -2.51
32.76           70.18           22.75
33.67           70.47           51.37
34.61           70.89           82.48
35.57           71.53           114.66
36.56           72.46           145.91
37.57           73.68           173.56
38.62           75.19           -165.04
39.69           76.91           -151.79
40.79           78.79           -147.54
41.93           80.73           -151.71
43.09           82.64           -162.09
44.29           84.41           -175.82
45.52           85.91           169.67
46.79           87.01           156.59
48.09           87.67           146.25
49.42           87.95           138.85
50.80           87.98           134.33
52.21           87.84           132.50
53.66           87.54           132.99
55.15           87.07           135.05
56.69           86.56           137.86
58.26           86.45           140.67
59.88           87.12           143.22
61.54           88.36           146.33
63.26           89.72           151.07
65.01           91.07           158.08
66.82           92.43           166.92
68.68           93.80           176.13
70.59           95.17           -175.59
72.55           96.50           -168.62
74.57           97.71           -162.19
76.64           98.76           -155.22
78.77           99.70           -147.19
80.96           100.56          -138.33
83.21           101.39          -129.07
85.52           102.15          -119.42
87.90           102.82          -109.02
90.34           103.39          -97.56
92.85           103.90          -85.03
95.43           104.38          -71.64
98.08           104.85          -57.53
100.81          105.28          -42.59
103.61          105.62          -26.59
106.49          105.88          -9.51
109.45          106.12          8.54
112.49          106.33          27.54
115.62          106.49          47.62
118.84          106.58          68.78
122.14          106.62          91.14
125.53          106.61          114.90
129.02          106.58          140.08
132.61          106.56          166.53
136.29          106.55          -165.85
140.08          106.52          -136.83
143.98          106.49          -106.42
147.98          106.49          -74.79
152.09          106.52          -41.81
156.32          106.57          -7.63
160.66          106.65          27.40
165.13          106.71          63.38
169.72          106.72          100.83
174.44          106.71          139.58
179.28          106.68          179.63
184.27          106.65          -138.82
189.39          106.60          -95.68
194.65          106.55          -51.00
200.06          106.50          -4.77
205.62          106.41          43.27
211.34          106.35          93.11
217.21          106.31          144.67
223.25          106.24          -161.84
229.46          106.18          -107.25
235.83          106.20          -51.33
242.39          106.18          5.89
249.12          106.14          64.72
256.05          106.07          125.54
263.17          106.08          -171.73
270.48          106.11          -107.37
278.00          106.15          -41.59
285.73          106.19          26.57
293.67          106.09          97.53
301.83          106.04          171.31
310.22          106.05          -113.02
318.84          106.17          -35.31
327.70          106.05          44.63
336.81          105.93          127.38
346.17          105.87          -147.34
355.80          105.84          -59.82
365.68          105.76          30.27
375.85          105.76          123.20
386.29          105.74          -141.85
397.03          105.53          -43.68
408.07          105.65          57.86
419.41          105.81          161.39
431.07          105.84          -92.58
443.05          105.80          17.07
455.36          105.88          129.24
468.02          105.87          -115.92
481.03          105.76          3.63
494.40          105.74          127.37
508.14          105.82          -106.89
522.26          105.84          23.06
536.78          106.04          156.53
551.70          106.21          -67.00
567.03          106.42          73.54
