Freq [Hz]       dBSPL           Phase [Deg]
20.00           70.10           -34.94
20.56           70.59           -43.89
21.13           70.98           -51.15
21.71           71.23           -56.24
22.32           71.33           -58.96
22.94           71.54           -65.73
23.58           71.60           -68.36
24.23           71.49           -65.55
24.90           71.19           -57.52
25.60           70.70           -45.09
26.31           70.00           -29.74
27.04           69.13           -13.61
27.79           68.16           0.96
28.56           67.21           11.91
29.36           66.44           17.54
30.17           66.02           16.57
31.01           66.03           8.23
31.87           66.39           -7.61
32.76           66.96           -30.39
33.67           67.58           -58.75
34.61           68.22           -90.72
35.57           68.88           -123.98
36.56           69.62           -155.85
37.57           70.57           176.69
38.62           71.90           156.51
39.69           73.70           145.63
40.79           75.80           145.05
41.93           77.84           154.57
43.09           79.45           172.69
44.29           80.54           -163.05
45.52           81.23           -135.77
46.79           81.69           -109.31
48.09           82.03           -87.99
49.42           82.36           -75.46
50.80           82.73           -73.70
52.21           83.17           -82.60
53.66           83.71           -99.67
55.15           84.37           -121.16
56.69           85.12           -143.71
58.26           85.99           -164.65
59.88           87.04           178.04
61.54           88.32           166.13
63.26           89.76           160.59
65.01           91.22           161.19
66.82           92.61           166.46
68.68           93.92           174.13
70.59           95.21           -177.47
72.55           96.50           -169.28
74.57           97.72           -161.51
76.64           98.81           -154.01
78.77           99.78           -146.50
80.96           100.64          -138.48
83.21           101.44          -129.54
85.52           102.17          -119.53
87.90           102.84          -108.61
90.34           103.43          -96.98
92.85           103.95          -84.67
95.43           104.43          -71.49
98.08           104.90          -57.30
100.81          105.32          -42.14
103.61          105.67          -26.10
106.49          105.94          -9.15
109.45          106.17          8.82
112.49          106.38          27.87
115.62          106.54          47.95
118.84          106.64          69.13
122.14          106.68          91.52
125.53          106.66          115.26
129.02          106.64          140.45
132.61          106.63          167.05
136.29          106.64          -165.07
140.08          106.62          -136.04
143.98          106.59          -105.72
147.98          106.58          -73.97
152.09          106.61          -41.04
156.32          106.66          -6.92
160.66          106.74          28.18
165.13          106.80          64.13
169.72          106.78          101.37
174.44          106.77          140.00
179.28          106.74          -179.86
184.27          106.71          -138.29
189.39          106.67          -95.16
194.65          106.62          -50.41
200.06          106.58          -4.15
205.62          106.49          43.85
211.34          106.43          93.79
217.21          106.40          145.34
223.25          106.32          -161.63
229.46          106.30          -107.45
235.83          106.31          -51.45
242.39          106.30          5.76
249.12          106.25          64.60
256.05          106.18          125.41
263.17          106.19          -171.80
270.48          106.21          -107.48
278.00          106.26          -41.43
285.73          106.26          27.40
293.67          106.18          98.32
301.83          106.11          172.16
310.22          106.13          -112.10
318.84          106.24          -34.40
327.70          106.13          45.60
336.81          106.02          128.35
346.17          105.96          -146.31
355.80          105.94          -58.75
365.68          105.88          31.30
375.85          105.87          124.22
386.29          105.87          -140.85
397.03          105.67          -42.79
408.07          105.79          58.49
419.41          105.94          162.09
431.07          105.98          -91.91
443.05          105.93          17.69
455.36          106.00          129.92
468.02          106.00          -115.18
481.03          105.89          4.41
494.40          106.04          128.35
508.14          106.13          -105.70
522.26          106.15          24.26
536.78          106.36          157.78
551.70          106.52          -65.72
567.03          106.72          74.82
582.79          106.86          -141.57
598.99          106.99          5.51
615.64          106.94          155.35
632.75          106.62          -48.67
650.34          106.52          112.73
668.42          106.23          -80.93
686.99          106.12          91.18
706.09          105.98          -92.54
725.71          105.96          89.15
745.89          106.06          -83.61
766.62          106.19          108.30
787.93          106.50          -54.19
809.83          106.82          147.03
832.33          107.28          -6.59
855.47          107.49          -156.23
879.25          107.70          60.61
903.68          107.82          -76.35
928.80          107.93          152.50
954.62          107.93          27.22
981.15          107.88          -91.15
1008.42         107.67          157.60
1036.45         107.40          53.93
1065.26         107.09          -40.67
1094.87         106.96          -127.81
1125.30         107.08          153.11
1156.58         107.44          80.53
1188.72         107.66          14.74
1221.76         107.84          -42.94
1255.72         108.00          -92.39
1290.62         108.01          -133.87
1326.50         108.06          -165.67
1363.37         108.20          171.28
1401.26         108.38          157.13
1440.21         108.24          152.39
1480.24         108.20          158.75
1521.38         108.21          175.61
1563.67         108.26          -149.56
1607.13         108.46          -104.00
1651.80         108.81          -51.45
1697.71         109.04          13.06
1744.90         109.10          88.88
1793.40         109.12          178.70
1843.24         109.12          -79.39
1894.48         109.17          35.94
1947.13         109.30          159.81
2001.25         109.33          -66.69
2056.88         109.14          84.19
2114.05         108.76          -110.31
2172.81         108.41          72.02
2233.20         107.98          -90.23
2295.27         107.41          126.22
2359.07         106.88          -0.34
2424.64         106.31          -110.48
2492.03         105.80          158.05
2561.29         105.50          83.34
2632.48         105.53          27.58
2705.65         105.61          -10.42
2780.86         105.79          -28.91
2858.15         106.09          -30.04
2937.59         106.29          -11.27
3019.24         106.54          28.39
3103.16         106.87          89.87
3189.41         107.20          171.52
3278.06         107.49          -83.70
3369.17         107.66          43.69
3462.82         107.73          -166.01
3559.06         107.68          8.06
3657.99         107.56          -152.13
3759.66         107.41          75.52
