Freq [Hz]       dBSPL           Phase [Deg]
20.00           59.27           -66.07
20.56           58.92           -72.20
21.13           58.58           -77.62
21.71           58.24           -82.11
22.32           57.91           -85.58
22.94           57.16           -92.74
23.58           56.32           -98.43
24.23           55.46           -101.77
24.90           54.62           -102.83
25.60           53.82           -101.96
26.31           53.14           -99.79
27.04           52.66           -97.21
27.79           52.47           -95.15
28.56           52.65           -94.25
29.36           53.23           -94.85
30.17           54.12           -96.92
31.01           55.16           -99.96
31.87           56.15           -102.99
32.76           56.97           -104.55
33.67           57.56           -103.08
34.61           57.96           -97.13
35.57           58.21           -85.63
36.56           58.37           -67.99
37.57           58.49           -44.20
38.62           58.71           -14.85
39.69           59.26           18.79
40.79           60.36           54.76
41.93           61.91           90.61
43.09           63.46           123.66
44.29           64.75           151.46
45.52           65.80           172.30
46.79           66.76           -174.60
48.09           67.88           -169.04
49.42           69.56           -169.99
50.80           72.07           -176.09
52.21           75.15           174.40
53.66           78.02           163.56
55.15           80.24           153.53
56.69           81.91           145.96
58.26           83.28           141.68
59.88           84.64           140.72
61.54           86.12           142.44
63.26           87.70           146.13
65.01           89.25           151.16
66.82           90.68           157.00
68.68           91.99           163.22
70.59           93.23           169.52
72.55           94.43           175.82
74.57           95.57           -177.77
76.64           96.62           -171.06
78.77           97.56           -163.89
80.96           98.41           -156.16
83.21           99.17           -147.83
85.52           99.85           -138.83
87.90           100.46          -129.11
90.34           101.00          -118.60
92.85           101.45          -107.22
95.43           101.84          -94.87
98.08           102.17          -81.44
100.81          102.47          -66.92
103.61          102.74          -51.39
106.49          102.98          -34.86
109.45          103.20          -17.28
112.49          103.41          1.26
115.62          103.59          20.63
118.84          103.70          40.80
122.14          103.74          61.88
125.53          103.70          84.10
129.02          103.61          107.70
132.61          103.47          132.81
136.29          103.30          159.37
140.08          103.10          -172.66
143.98          102.86          -143.17
147.98          102.63          -112.04
152.09          102.45          -79.38
156.32          102.34          -45.28
160.66          102.31          -9.99
165.13          102.33          26.24
169.72          102.35          63.43
174.44          102.35          101.77
179.28          102.35          141.45
184.27          102.37          -177.53
189.39          102.40          -135.25
194.65          102.42          -91.87
200.06          102.39          -47.37
205.62          102.26          -1.28
211.34          102.06          46.94
217.21          101.87          97.48
223.25          101.73          149.88
229.46          101.62          -156.37
235.83          101.48          -101.37
242.39          101.31          -44.58
249.12          101.16          14.19
256.05          101.11          74.86
263.17          101.18          137.10
270.48          101.31          -159.66
278.00          101.36          -95.19
285.73          101.31          -28.57
293.67          101.23          40.97
301.83          101.21          112.81
310.22          101.18          -173.31
318.84          101.07          -97.26
327.70          100.92          -19.10
336.81          100.76          61.90
346.17          100.69          145.05
355.80          100.65          -130.21
365.68          100.46          -43.62
375.85          100.19          46.66
386.29          99.94           139.58
397.03          99.68           -124.24
408.07          99.56           -24.02
419.41          99.61           77.87
431.07          99.46           -178.00
443.05          99.19           -70.49
455.36          99.08           40.35
468.02          99.00           153.03
481.03          98.79           -89.21
494.40          98.84           31.73
508.14          98.74           153.79
522.26          98.44           -79.33
536.78          98.05           50.39
551.70          97.59           -174.60
567.03          97.26           -34.82
582.79          96.98           109.11
598.99          97.03           -104.45
615.64          96.74           44.51
632.75          96.28           -160.05
650.34          95.99           -0.40
668.42          95.47           165.71
686.99          95.51           -23.81
706.09          95.46           149.86
725.71          95.36           -32.67
745.89          95.23           150.58
766.62          95.20           -21.82
787.93          95.24           169.02
809.83          94.97           5.33
832.33          94.72           -153.66
855.47          94.00           53.74
879.25          93.33           -87.12
903.68          92.54           139.79
928.80          91.95           10.75
954.62          90.80           -112.22
981.15          89.68           134.01
1008.42         89.42           29.18
1036.45         89.39           -70.89
1065.26         89.90           -162.98
1094.87         90.47           106.55
1125.30         90.35           17.19
1156.58         90.76           -95.65
1188.72         91.26           155.05
1221.76         91.81           51.23
1255.72         92.05           -48.75
1290.62         91.87           -143.11
1326.50         91.44           130.52
1363.37         90.99           40.36
1401.26         90.79           -49.61
1440.21         90.52           -110.07
1480.24         89.48           -143.14
1521.38         87.99           -162.51
1563.67         87.16           -159.00
1607.13         87.81           -142.13
1651.80         90.03           -117.86
1697.71         91.59           -75.08
1744.90         92.18           -7.20
1793.40         92.61           79.14
1843.24         93.09           176.04
1894.48         93.49           -74.24
1947.13         93.69           38.17
2001.25         93.66           162.49
2056.88         93.20           -55.47
2114.05         92.23           103.56
2172.81         91.63           -80.51
2233.20         90.91           110.05
2295.27         90.14           -41.31
2359.07         88.89           -175.75
2424.64         87.54           65.58
2492.03         86.57           -33.70
2561.29         85.49           -121.60
2632.48         84.60           159.43
2705.65         83.36           83.38
2780.86         82.19           25.71
2858.15         81.71           -12.87
2937.59         81.07           -33.58
3019.24         80.68           -32.95
3103.16         80.79           -9.89
3189.41         81.14           34.23
3278.06         81.72           107.44
3369.17         82.13           -138.33
3462.82         82.31           0.78
3559.06         82.18           153.09
3657.99         81.90           -55.99
3759.66         81.68           123.61
3864.16         81.28           -32.79
3971.56         80.62           170.79
4081.95         79.80           28.49
4195.41         79.24           -82.50
4312.02         78.99           174.73
4431.87         78.71           25.27
4555.05         78.48           -102.83
4681.66         78.54           111.45
4811.78         78.84           -13.85
4945.53         79.78           -91.57
5082.99         80.31           -109.20
5224.27         80.68           -93.71
5369.47         80.97           -37.32
5518.72         81.19           114.35
5672.11         81.24           -99.89
5829.76         81.13           76.90
5991.80         80.76           -109.26
6158.34         80.14           98.07
6329.51         79.73           -6.83
6505.44         79.72           -69.39
6686.25         79.13           -89.38
6872.10         78.42           -57.95
7063.10         78.23           89.56
7259.42         79.35           22.13
7461.19         81.06           55.55
7668.58         81.42           167.07
7881.72         81.13           -66.71
8100.79         80.57           -40.33
8325.95         80.09           -39.63
8557.37         80.70           17.79
8795.22         81.70           123.84
9039.68         81.87           -75.05
9290.93         81.04           149.92
9549.17         80.14           -35.09
9814.59         80.45           89.50
10087.38        80.92           27.51
10367.76        81.20           53.47
10655.93        81.20           34.10
10952.11        81.06           33.39
11256.52        80.60           107.45
11569.39        80.50           -118.95
11890.96        80.64           -37.32
12221.46        80.77           -115.93
12561.16        80.65           -82.11
12910.29        80.48           -41.71
13269.13        80.32           -44.44
13637.94        79.78           -124.60
14017.00        78.97           -24.94
14406.60        78.73           -113.47
14807.03        78.54           85.67
15218.59        78.15           -146.60
15641.58        78.10           135.69
16076.34        77.74           -54.59
16523.17        77.55           155.37
16982.43        77.21           103.04
17454.45        76.53           44.41
17939.60        76.07           1.55
18438.22        75.44           -136.38
18950.71        74.70           161.09
19477.44        73.67           179.23
20018.81        72.71           72.50
20575.22        72.11           -76.23
21147.11        72.07           8.28
21734.88        72.20           110.52
