Freq [Hz]       dBSPL           Phase [Deg]
20.00           66.95           10.49
20.56           66.90           18.54
21.13           66.87           26.65
21.71           66.86           34.81
22.32           66.88           43.05
22.94           66.89           58.46
23.58           66.96           75.24
24.23           67.10           92.51
24.90           67.29           110.49
25.60           67.54           129.45
26.31           67.83           149.77
27.04           68.13           171.84
27.79           68.44           -164.03
28.56           68.74           -137.85
29.36           69.02           -109.96
30.17           69.30           -81.10
31.01           69.57           -52.47
31.87           69.86           -25.79
32.76           70.19           -3.19
33.67           70.60           13.25
34.61           71.12           21.78
35.57           71.81           21.27
36.56           72.70           11.27
37.57           73.86           -7.82
38.62           75.31           -34.80
39.69           77.05           -67.79
40.79           79.03           -104.17
41.93           81.18           -140.94
43.09           83.40           -175.08
44.29           85.47           155.92
45.52           87.16           133.55
46.79           88.26           118.01
48.09           88.75           108.14
49.42           88.86           102.17
50.80           88.77           98.69
52.21           88.54           96.96
53.66           88.09           96.93
55.15           87.27           98.68
56.69           85.95           101.91
58.26           84.60           105.93
59.88           84.40           110.02
61.54           85.34           114.47
63.26           86.46           120.09
65.01           87.62           127.61
66.82           88.94           136.63
68.68           90.40           145.50
70.59           91.85           152.59
72.55           93.11           157.56
74.57           94.16           161.66
76.64           95.08           166.60
78.77           95.95           173.13
80.96           96.80           -179.27
83.21           97.61           -171.48
85.52           98.34           -163.77
87.90           98.94           -155.68
90.34           99.43           -146.55
92.85           99.86           -136.16
95.43           100.24          -124.75
98.08           100.56          -112.53
100.81          100.82          -99.38
103.61          101.03          -84.98
106.49          101.22          -69.27
109.45          101.44          -52.43
112.49          101.70          -34.62
115.62          101.96          -16.02
118.84          102.16          3.19
122.14          102.32          23.02
125.53          102.40          43.70
129.02          102.41          65.29
132.61          102.34          87.75
136.29          102.24          111.21
140.08          102.06          136.43
143.98          101.83          163.50
147.98          101.60          -168.17
152.09          101.37          -138.55
156.32          101.14          -107.68
160.66          100.92          -75.80
165.13          100.69          -42.46
169.72          100.41          -6.82
174.44          100.11          30.44
179.28          99.81           68.74
184.27          99.50           109.09
189.39          99.27           151.21
194.65          99.14           -165.28
200.06          99.15           -120.38
205.62          99.22           -74.66
211.34          99.26           -27.93
217.21          99.30           19.56
223.25          99.22           66.94
229.46          99.25           115.79
235.83          99.10           167.69
242.39          98.93           -139.56
249.12          98.63           -84.91
256.05          98.27           -27.78
263.17          98.07           31.78
270.48          97.90           92.86
278.00          97.91           156.69
285.73          97.69           -136.56
293.67          97.59           -69.78
301.83          97.41           -0.20
310.22          97.43           71.06
318.84          97.56           144.45
327.70          97.39           -140.59
336.81          97.25           -63.23
346.17          97.11           16.00
355.80          96.90           96.95
365.68          96.68           -178.33
375.85          96.53           -91.42
386.29          96.37           -2.37
397.03          95.86           88.02
408.07          95.44           -176.42
419.41          95.22           -79.14
431.07          94.95           21.18
443.05          94.59           124.62
455.36          94.52           -129.42
468.02          94.26           -22.61
481.03          93.67           88.42
494.40          92.94           -157.60
508.14          92.79           -37.05
522.26          92.59           86.79
536.78          92.34           -146.18
551.70          92.08           -15.96
567.03          91.87           118.43
582.79          91.49           -102.55
598.99          91.39           39.47
615.64          91.40           -176.34
632.75          91.11           -25.19
650.34          90.93           128.43
668.42          90.45           -75.40
686.99          89.94           89.66
706.09          89.47           -102.83
725.71          88.78           70.26
745.89          88.33           -113.90
766.62          87.80           72.04
787.93          88.03           -100.66
809.83          87.69           85.22
832.33          87.09           -104.21
855.47          86.57           58.41
879.25          85.84           -134.77
903.68          85.00           45.85
928.80          84.21           -125.25
954.62          84.33           66.42
981.15          83.36           -102.61
1008.42         82.50           110.81
1036.45         85.71           -17.79
1065.26         86.82           -124.18
1094.87         87.03           136.39
1125.30         87.34           47.22
1156.58         88.14           -44.33
1188.72         88.15           -127.64
1221.76         88.22           134.32
1255.72         88.69           23.51
1290.62         87.81           -95.28
1326.50         86.86           152.56
1363.37         86.43           50.75
1401.26         87.45           -50.22
1440.21         86.77           -148.50
1480.24         86.93           125.52
1521.38         86.73           66.61
1563.67         86.64           51.66
1607.13         86.40           57.25
1651.80         86.91           83.28
1697.71         87.46           121.23
1744.90         87.58           167.10
1793.40         87.06           -162.61
1843.24         87.11           -127.35
1894.48         86.81           -100.75
1947.13         86.33           -84.09
2001.25         86.11           -60.76
2056.88         85.68           -53.30
2114.05         84.81           -57.06
2172.81         82.27           -67.98
2233.20         81.47           -64.52
2295.27         80.17           -40.84
2359.07         79.58           -18.71
2424.64         78.93           21.98
2492.03         78.50           61.88
2561.29         78.20           124.48
2632.48         78.21           -152.59
2705.65         78.08           -54.73
2780.86         77.65           71.93
2858.15         77.25           -149.86
2937.59         77.20           -55.93
3019.24         77.12           8.49
3103.16         77.66           63.30
3189.41         77.81           108.36
3278.06         77.50           166.90
3369.17         77.12           -115.02
3462.82         77.62           -35.15
3559.06         78.08           31.28
3657.99         78.00           126.23
3759.66         78.14           -88.54
3864.16         78.52           63.28
3971.56         78.56           -115.28
4081.95         78.75           60.87
4195.41         78.99           -123.97
