Freq [Hz]       dBSPL           Phase [Deg]
20.00           68.33           -45.72
20.56           68.33           -53.34
21.13           68.28           -59.54
21.71           68.17           -63.89
22.32           68.01           -66.22
22.94           67.79           -71.98
23.58           67.45           -74.29
24.23           67.00           -72.06
24.90           66.44           -65.55
25.60           65.79           -55.51
26.31           65.07           -43.31
27.04           64.38           -30.93
27.79           63.86           -20.46
28.56           63.70           -13.71
29.36           64.06           -12.11
30.17           64.95           -16.60
31.01           66.22           -27.59
31.87           67.59           -44.82
32.76           68.84           -67.39
33.67           69.89           -94.05
34.61           70.75           -123.46
35.57           71.48           -154.52
36.56           72.16           173.44
37.57           72.93           140.74
38.62           73.97           107.47
39.69           75.43           73.80
40.79           77.33           40.12
41.93           79.38           7.33
43.09           81.20           -22.95
44.29           82.58           -49.13
45.52           83.58           -70.39
46.79           84.30           -86.83
48.09           84.88           -99.77
49.42           85.39           -111.32
50.80           85.85           -123.05
52.21           86.21           -135.60
53.66           86.41           -148.64
55.15           86.48           -161.51
56.69           86.51           -173.73
58.26           86.64           175.04
59.88           87.08           165.35
61.54           88.03           158.74
63.26           89.50           156.62
65.01           91.07           159.46
66.82           92.47           166.22
68.68           93.70           174.62
70.59           94.92           -177.20
72.55           96.18           -169.98
74.57           97.43           -163.34
76.64           98.57           -156.50
78.77           99.54           -148.94
80.96           100.38          -140.44
83.21           101.15          -131.08
85.52           101.87          -121.03
87.90           102.54          -110.41
90.34           103.15          -99.15
92.85           103.67          -87.03
95.43           104.13          -73.88
98.08           104.56          -59.67
100.81          104.96          -44.52
103.61          105.30          -28.54
106.49          105.58          -11.67
109.45          105.81          6.30
112.49          106.01          25.36
115.62          106.17          45.37
118.84          106.27          66.40
122.14          106.30          88.65
125.53          106.29          112.28
129.02          106.26          137.31
132.61          106.22          163.67
136.29          106.19          -168.75
140.08          106.16          -139.90
143.98          106.11          -109.57
147.98          106.08          -77.80
152.09          106.10          -44.85
156.32          106.16          -10.78
160.66          106.23          24.29
165.13          106.30          60.34
169.72          106.31          97.67
174.44          106.29          136.33
179.28          106.28          176.35
184.27          106.25          -142.24
189.39          106.21          -99.23
194.65          106.16          -54.69
200.06          106.10          -8.65
205.62          106.00          39.28
211.34          105.91          88.98
217.21          105.85          140.63
223.25          105.89          -165.91
229.46          105.94          -110.99
235.83          105.94          -55.38
242.39          105.91          1.87
249.12          105.86          60.70
256.05          105.81          121.43
263.17          105.83          -175.96
270.48          105.88          -111.96
278.00          105.84          -46.33
285.73          105.71          21.15
293.67          105.59          92.15
301.83          105.54          165.52
310.22          105.49          -118.44
318.84          105.35          -39.80
327.70          105.24          39.85
336.81          105.09          122.61
346.17          105.01          -152.50
355.80          104.93          -65.24
365.68          104.80          24.82
375.85          104.74          117.69
386.29          104.70          -147.31
397.03          104.73          -50.35
408.07          104.83          51.07
419.41          105.00          154.48
431.07          104.99          -99.43
443.05          104.95          10.37
455.36          105.05          122.52
468.02          105.03          -122.85
481.03          104.94          -3.12
494.40          105.18          120.70
508.14          105.25          -114.05
522.26          105.26          15.72
536.78          105.40          149.07
551.70          105.59          -74.53
567.03          105.78          65.72
582.79          105.90          -150.75
598.99          106.05          -4.26
615.64          105.94          144.92
632.75          105.57          -59.63
650.34          105.42          101.16
668.42          105.13          -92.71
686.99          104.97          78.53
706.09          104.74          -105.58
725.71          104.61          75.47
745.89          104.67          -97.84
766.62          104.64          93.63
787.93          104.87          -69.39
809.83          105.04          131.72
832.33          105.37          -22.19
855.47          105.47          -171.25
879.25          105.64          45.51
903.68          105.66          -91.59
928.80          105.68          137.03
954.62          105.58          12.09
981.15          105.47          -106.50
1008.42         105.22          142.46
1036.45         104.87          38.69
1065.26         104.45          -56.36
1094.87         104.19          -143.58
1125.30         104.07          137.08
1156.58         104.10          65.33
1188.72         104.33          0.57
1221.76         104.58          -56.92
1255.72         104.82          -106.62
1290.62         104.91          -149.15
1326.50         104.90          177.65
1363.37         104.91          153.12
1401.26         104.84          137.46
1440.21         104.69          131.79
1480.24         104.47          135.67
1521.38         104.05          150.33
1563.67         103.68          -176.75
1607.13         103.39          -132.75
1651.80         103.29          -80.84
1697.71         102.99          -16.23
1744.90         102.63          60.29
1793.40         102.20          149.85
1843.24         101.54          -109.27
1894.48         100.82          5.83
1947.13         100.36          130.39
2001.25         99.96           -95.35
2056.88         99.32           55.66
2114.05         98.70           -139.31
2172.81         97.85           41.73
2233.20         96.72           -117.82
2295.27         95.15           104.86
2359.07         93.79           -16.26
2424.64         92.28           -119.82
2492.03         90.58           152.96
2561.29         88.47           76.56
2632.48         87.88           -8.05
2705.65         88.21           -76.37
2780.86         89.18           -127.62
2858.15         90.09           -168.59
2937.59         90.35           172.12
3019.24         90.63           173.31
3103.16         90.68           -162.50
3189.41         90.93           -113.53
3278.06         91.30           -11.69
3369.17         91.82           120.69
3462.82         92.39           -83.13
3559.06         92.89           96.50
3657.99         93.32           -57.09
3759.66         93.85           175.29
3864.16         94.25           73.14
3971.56         94.58           -2.71
4081.95         94.99           -53.70
4195.41         95.32           -76.33
4312.02         95.79           -70.71
4431.87         96.07           -35.39
4555.05         95.98           31.13
4681.66         95.72           131.23
4811.78         95.51           -96.35
