Freq [Hz]       dBSPL           Phase [Deg]
20.00           63.22           -51.67
20.56           63.58           -52.69
21.13           63.86           -53.93
21.71           64.02           -55.41
22.32           64.07           -57.17
22.94           64.21           -60.22
23.58           64.22           -64.02
24.23           64.05           -68.42
24.90           63.71           -73.39
25.60           63.19           -78.81
26.31           62.47           -84.49
27.04           61.57           -90.19
27.79           60.51           -95.61
28.56           59.34           -100.52
29.36           58.11           -104.71
30.17           56.90           -108.02
31.01           55.77           -110.35
31.87           54.75           -111.66
32.76           53.84           -112.03
33.67           53.03           -111.68
34.61           52.29           -111.00
35.57           51.61           -110.55
36.56           51.04           -111.03
37.57           50.79           -113.32
38.62           51.28           -118.25
39.69           53.12           -126.28
40.79           56.31           -137.40
41.93           60.09           -151.04
43.09           63.66           -165.99
44.29           66.66           179.16
45.52           69.12           165.63
46.79           71.16           154.30
48.09           72.94           145.62
49.42           74.60           139.49
50.80           76.19           135.69
52.21           77.72           133.92
53.66           79.20           133.81
55.15           80.61           134.84
56.69           81.98           136.53
58.26           83.36           138.51
59.88           84.80           140.65
61.54           86.29           143.35
63.26           87.81           147.06
65.01           89.32           152.03
66.82           90.76           158.07
68.68           92.12           164.58
70.59           93.41           171.05
72.55           94.63           177.31
74.57           95.77           -176.40
76.64           96.80           -169.68
78.77           97.74           -162.31
80.96           98.59           -154.32
83.21           99.36           -145.79
85.52           100.05          -136.73
87.90           100.66          -127.02
90.34           101.19          -116.48
92.85           101.64          -104.99
95.43           102.04          -92.49
98.08           102.39          -78.98
100.81          102.70          -64.43
103.61          102.97          -48.85
106.49          103.22          -32.23
109.45          103.45          -14.55
112.49          103.66          4.09
115.62          103.83          23.57
118.84          103.94          43.84
122.14          103.98          65.05
125.53          103.94          87.43
129.02          103.84          111.23
132.61          103.71          136.53
136.29          103.54          163.27
140.08          103.36          -168.60
143.98          103.15          -138.96
147.98          102.95          -107.71
152.09          102.79          -74.95
156.32          102.71          -40.80
160.66          102.71          -5.50
165.13          102.74          30.69
169.72          102.77          67.83
174.44          102.78          106.15
179.28          102.78          145.80
184.27          102.79          -173.19
189.39          102.81          -130.90
194.65          102.82          -87.43
200.06          102.78          -42.77
205.62          102.65          3.50
211.34          102.45          51.95
217.21          102.27          102.66
223.25          102.15          155.15
229.46          102.06          -151.05
235.83          101.95          -95.92
242.39          101.80          -39.05
249.12          101.68          19.70
256.05          101.64          80.36
263.17          101.72          142.53
270.48          101.84          -154.23
278.00          101.89          -89.69
285.73          101.83          -22.90
293.67          101.75          46.69
301.83          101.72          118.65
310.22          101.68          -167.44
318.84          101.58          -91.63
327.70          101.42          -13.31
336.81          101.26          67.76
346.17          101.18          150.99
355.80          101.12          -124.21
365.68          100.89          -37.32
375.85          100.63          53.33
386.29          100.36          146.54
397.03          100.08          -116.68
408.07          99.98           -16.40
419.41          100.02          85.72
431.07          99.85           -170.01
443.05          99.54           -62.12
455.36          99.43           49.05
468.02          99.33           161.96
481.03          99.11           -79.72
494.40          99.12           41.54
508.14          98.99           164.63
522.26          98.69           -67.66
536.78          98.31           63.08
551.70          97.94           -160.70
567.03          97.75           -20.30
582.79          97.62           124.27
598.99          97.81           -89.27
615.64          97.64           59.85
632.75          97.32           -144.77
650.34          97.11           14.54
668.42          96.72           -179.61
686.99          96.83           -9.84
706.09          96.74           163.29
725.71          96.61           -19.31
745.89          96.43           163.82
766.62          96.36           -8.77
787.93          96.34           -177.66
809.83          96.05           18.95
832.33          95.77           -139.58
855.47          95.03           69.06
879.25          94.37           -71.82
903.68          93.66           154.18
928.80          93.04           24.42
954.62          91.87           -98.77
981.15          90.81           147.58
1008.42         90.46           42.44
1036.45         90.33           -57.00
1065.26         90.78           -149.54
1094.87         91.19           120.36
1125.30         90.93           34.06
1156.58         91.27           -35.03
1188.72         91.87           -100.17
1221.76         92.51           -160.45
1255.72         92.76           143.26
1290.62         92.60           93.34
1326.50         92.24           50.07
1363.37         91.86           3.78
1401.26         91.60           -42.77
1440.21         91.31           -86.67
1480.24         90.12           -119.00
1521.38         88.34           -135.47
1563.67         87.20           -130.83
1607.13         88.08           -112.22
1651.80         90.48           -87.69
1697.71         91.88           -43.91
1744.90         92.58           25.06
1793.40         93.06           112.40
1843.24         93.66           -149.63
1894.48         94.08           -40.17
1947.13         94.28           72.91
2001.25         94.27           -162.18
2056.88         93.74           -19.38
2114.05         92.93           140.88
2172.81         92.41           -42.85
2233.20         91.75           148.02
2295.27         90.93           -2.63
2359.07         89.84           -135.87
2424.64         88.61           105.79
2492.03         87.87           7.20
2561.29         86.87           -80.27
2632.48         85.99           -160.10
2705.65         84.71           91.45
2780.86         83.43           -6.71
2858.15         82.99           -87.04
2937.59         82.30           -149.18
3019.24         81.77           170.28
3103.16         81.72           151.63
3189.41         81.87           154.36
3278.06         82.31           -174.07
3369.17         82.84           -82.60
3462.82         83.12           57.57
3559.06         83.09           -155.15
3657.99         82.84           -4.50
3759.66         82.70           141.30
3864.16         82.26           -56.77
3971.56         81.79           99.19
4081.95         81.08           -99.00
4195.41         80.83           64.53
4312.02         80.48           -108.36
4431.87         80.34           101.15
4555.05         80.03           -24.49
4681.66         80.01           -152.12
4811.78         80.28           129.35
4945.53         80.91           102.34
5082.99         81.51           131.50
5224.27         81.88           -126.56
5369.47         82.18           17.61
5518.72         82.45           -169.74
5672.11         82.50           -27.13
5829.76         82.43           84.88
5991.80         82.17           171.42
6158.34         81.63           -64.31
6329.51         81.35           107.02
6505.44         81.41           -39.25
6686.25         81.20           -142.79
6872.10         80.35           152.87
7063.10         80.09           127.15
7259.42         80.96           -119.11
7461.19         82.36           156.79
7668.58         82.74           141.56
7881.72         82.45           177.06
8100.79         81.76           150.39
8325.95         81.00           44.31
8557.37         81.53           -20.99
8795.22         82.98           24.85
9039.68         83.55           -170.55
9290.93         83.05           56.58
9549.17         82.50           -72.08
9814.59         83.00           42.41
10087.38        83.40           -117.47
10367.76        83.66           -64.11
10655.93        83.94           41.52
10952.11        83.79           131.45
11256.52        83.51           -93.87
11569.39        83.49           94.08
11890.96        83.60           -157.42
12221.46        83.57           -40.13
12561.16        83.42           175.10
12910.29        83.28           54.27
13269.13        83.02           -160.95
13637.94        81.99           -72.54
14017.00        80.69           -55.22
14406.60        79.80           162.00
14807.03        79.04           122.91
15218.59        78.00           61.61
15641.58        77.03           -123.19
16076.34        76.11           -173.27
16523.17        75.36           -40.91
16982.43        75.12           86.54
17454.45        74.91           131.70
17939.60        74.63           -19.67
18438.22        74.30           76.73
18950.71        73.80           -119.55
19477.44        73.41           27.66
20018.81        71.92           -64.05
20575.22        71.65           -179.31
21147.11        71.56           69.56
21734.88        71.09           -153.20
