Freq [Hz]       dBSPL           Phase [Deg]
20.00           62.64           -99.85
20.56           63.02           -93.21
21.13           63.36           -88.57
21.71           63.64           -86.33
22.32           63.84           -86.60
22.94           64.19           -84.79
23.58           64.46           -87.81
24.23           64.63           -96.38
24.90           64.71           -109.83
25.60           64.70           -126.85
26.31           64.64           -145.42
27.04           64.57           -162.79
27.79           64.57           -176.22
28.56           64.70           176.35
29.36           65.03           176.21
30.17           65.58           -176.31
31.01           66.34           -162.02
31.87           67.22           -143.05
32.76           68.14           -122.66
33.67           69.06           -104.54
34.61           69.94           -92.15
35.57           70.83           -88.06
36.56           71.78           -93.71
37.57           72.89           -109.23
38.62           74.28           -133.60
39.69           76.03           -164.84
40.79           78.09           159.97
41.93           80.32           123.92
43.09           82.49           89.87
44.29           84.39           60.24
45.52           85.88           37.02
46.79           86.92           21.61
48.09           87.52           14.95
49.42           87.78           17.46
50.80           87.80           28.54
52.21           87.65           46.25
53.66           87.29           67.21
55.15           86.70           87.77
56.69           85.97           105.53
58.26           85.43           119.68
59.88           85.37           130.70
61.54           85.81           138.77
63.26           86.55           143.71
65.01           87.59           145.45
66.82           88.98           145.20
68.68           90.58           145.39
70.59           92.02           148.01
72.55           93.15           153.54
74.57           94.10           160.78
76.64           95.02           168.16
78.77           95.97           174.88
80.96           96.87           -178.90
83.21           97.66           -172.42
85.52           98.33           -164.97
87.90           98.91           -156.22
90.34           99.45           -146.38
92.85           99.96           -135.84
95.43           100.37          -124.73
98.08           100.66          -112.78
100.81          100.86          -99.60
103.61          101.07          -85.01
106.49          101.30          -69.16
109.45          101.52          -52.42
112.49          101.73          -34.85
115.62          101.96          -16.30
118.84          102.17          2.93
122.14          102.33          22.69
125.53          102.41          43.35
129.02          102.42          64.93
132.61          102.40          87.46
136.29          102.34          111.42
140.08          102.22          136.94
143.98          102.00          163.76
147.98          101.75          -168.02
152.09          101.51          -138.13
156.32          101.33          -107.24
160.66          101.15          -75.60
165.13          100.85          -42.29
169.72          100.49          -6.98
174.44          100.13          29.76
179.28          99.82           68.19
184.27          99.53           108.54
189.39          99.28           150.52
194.65          99.14           -165.93
200.06          99.14           -121.11
205.62          99.19           -75.19
211.34          99.29           -28.61
217.21          99.27           18.67
223.25          99.13           69.01
229.46          98.91           120.47
235.83          98.86           172.00
242.39          98.64           -134.94
249.12          98.34           -80.30
256.05          97.99           -23.23
263.17          97.74           36.12
270.48          97.60           97.82
278.00          97.61           160.13
285.73          97.81           -136.94
293.67          97.62           -70.25
301.83          97.52           -0.88
310.22          97.51           70.43
318.84          97.51           145.02
327.70          97.38           -140.32
336.81          97.23           -62.80
346.17          97.12           16.08
355.80          96.89           97.32
365.68          96.67           -178.33
375.85          96.50           -91.32
386.29          96.32           -2.56
397.03          95.99           86.89
408.07          95.87           -179.29
419.41          95.63           -81.64
431.07          95.37           18.79
443.05          95.07           122.32
455.36          94.99           -131.59
468.02          94.81           -24.60
481.03          94.31           86.67
494.40          93.78           -159.98
508.14          93.27           -38.18
522.26          93.08           85.75
536.78          92.83           -147.52
551.70          92.62           -17.58
567.03          92.43           116.64
582.79          92.41           -107.00
598.99          92.27           34.56
615.64          92.24           179.08
632.75          91.91           -30.36
650.34          91.70           123.42
668.42          91.28           -80.54
686.99          90.73           83.60
706.09          90.32           -108.59
725.71          89.74           64.62
745.89          88.64           -117.58
766.62          88.02           69.01
787.93          88.17           -103.43
809.83          87.83           83.67
832.33          87.21           -110.14
855.47          87.10           50.55
879.25          86.46           -144.01
903.68          85.65           34.47
928.80          84.82           -136.31
954.62          85.16           49.95
981.15          84.32           -118.12
1008.42         83.76           94.66
1036.45         86.45           -32.93
1065.26         87.35           -137.11
1094.87         87.51           126.45
