Freq [Hz]       dBSPL           Phase [Deg]
20.00           61.84           39.36
20.56           62.29           29.68
21.13           62.70           19.08
21.71           63.03           7.58
22.32           63.28           -4.71
22.94           63.68           -26.23
23.58           64.00           -50.75
24.23           64.21           -76.49
24.90           64.30           -102.52
25.60           64.30           -127.64
26.31           64.22           -150.30
27.04           64.11           -168.68
27.79           64.03           178.88
28.56           64.05           173.50
29.36           64.25           175.67
30.17           64.67           -174.93
31.01           65.30           -159.50
31.87           66.11           -140.31
32.76           67.01           -120.49
33.67           67.96           -103.42
34.61           68.93           -92.16
35.57           69.93           -88.98
36.56           71.02           -95.16
37.57           72.28           -110.81
38.62           73.79           -135.01
39.69           75.59           -165.91
40.79           77.63           159.18
41.93           79.78           123.24
43.09           81.83           89.07
44.29           83.62           59.17
45.52           85.06           35.59
46.79           86.08           19.82
48.09           86.69           12.87
49.42           86.97           15.19
50.80           87.02           26.21
52.21           86.89           43.99
53.66           86.56           65.16
55.15           86.05           86.09
56.69           85.45           104.30
58.26           85.07           118.93
59.88           85.15           130.37
61.54           85.66           138.78
63.26           86.46           144.04
65.01           87.56           146.09
66.82           88.98           146.08
68.68           90.56           146.41
70.59           91.98           149.02
72.55           93.13           154.43
74.57           94.09           161.49
76.64           95.03           168.70
78.77           95.98           175.31
80.96           96.88           -178.49
83.21           97.67           -171.95
85.52           98.34           -164.38
87.90           98.92           -155.52
90.34           99.47           -145.63
92.85           99.96           -135.12
95.43           100.37          -124.05
98.08           100.66          -112.07
100.81          100.86          -98.82
103.61          101.07          -84.19
106.49          101.30          -68.34
109.45          101.52          -51.59
112.49          101.74          -34.00
115.62          101.96          -15.45
118.84          102.18          3.83
122.14          102.33          23.65
125.53          102.41          44.33
129.02          102.43          65.92
132.61          102.40          88.47
136.29          102.34          112.45
140.08          102.21          137.96
143.98          101.99          164.80
147.98          101.72          -166.90
152.09          101.47          -136.98
156.32          101.28          -106.02
160.66          101.08          -74.23
165.13          100.77          -40.77
169.72          100.41          -5.32
174.44          100.04          31.52
179.28          99.73           70.14
184.27          99.45           110.58
189.39          99.22           152.60
194.65          99.11           -163.82
200.06          99.13           -119.07
205.62          99.18           -73.22
211.34          99.25           -26.64
217.21          99.23           20.69
223.25          99.07           71.07
229.46          98.82           122.34
235.83          98.77           173.89
242.39          98.51           -133.17
249.12          98.16           -78.36
256.05          97.79           -21.09
263.17          97.54           38.37
270.48          97.37           100.11
278.00          97.38           162.28
285.73          97.58           -134.57
293.67          97.36           -67.75
301.83          97.26           1.91
310.22          97.26           73.33
318.84          97.23           147.96
327.70          97.07           -137.39
336.81          96.91           -59.81
346.17          96.77           19.23
355.80          96.51           100.53
365.68          96.27           -174.69
375.85          96.09           -87.56
386.29          95.91           1.27
397.03          95.59           90.57
408.07          95.47           -174.86
419.41          95.23           -77.47
431.07          94.95           22.53
443.05          94.60           126.14
455.36          94.50           -128.05
468.02          94.22           -21.63
481.03          93.55           89.95
494.40          92.91           -155.50
508.14          92.24           -33.84
522.26          91.95           91.21
536.78          91.65           -141.36
551.70          91.40           -10.58
567.03          91.27           124.32
582.79          91.11           -98.91
598.99          91.04           43.68
615.64          91.02           -172.12
632.75          90.68           -21.27
650.34          90.52           131.93
668.42          89.98           -71.65
686.99          89.49           93.87
706.09          89.03           -98.65
725.71          88.32           75.36
745.89          87.37           -105.83
766.62          86.89           79.21
787.93          87.16           -93.49
809.83          86.80           91.48
832.33          86.23           -100.21
855.47          85.71           60.35
879.25          84.96           -131.88
903.68          84.17           50.19
928.80          83.57           -120.32
954.62          84.31           67.81
981.15          83.24           -103.63
1008.42         82.51           72.40
1036.45         85.30           -97.30
1065.26         86.12           113.47
1094.87         86.23           -46.28
1125.30         86.44           114.50
1156.58         86.60           -103.31
1188.72         86.07           50.67
1221.76         86.07           -141.74
1255.72         86.65           45.93
1290.62         85.49           -115.98
1326.50         84.31           90.25
1363.37         84.20           -51.50
1401.26         85.81           -148.33
1440.21         85.65           156.42
1480.24         85.87           113.60
1521.38         85.94           83.43
1563.67         85.55           63.57
1607.13         85.42           32.29
1651.80         85.67           17.83
1697.71         86.11           17.41
1744.90         85.59           18.98
1793.40         85.12           8.68
1843.24         85.08           0.76
1894.48         84.73           -26.65
1947.13         84.36           -50.78
2001.25         84.23           -40.11
2056.88         83.94           -36.05
2114.05         82.86           -43.39
2172.81         81.05           -54.87
2233.20         80.46           -50.53
2295.27         79.49           -30.91
2359.07         79.29           -5.52
2424.64         78.49           30.76
2492.03         78.75           69.24
2561.29         78.59           132.07
2632.48         78.63           -149.54
2705.65         78.49           -52.11
2780.86         78.08           80.04
2858.15         77.86           -110.33
2937.59         77.90           67.77
3019.24         77.87           -99.97
3103.16         77.88           120.78
3189.41         78.27           -24.04
3278.06         78.39           -125.77
3369.17         78.12           170.66
3462.82         78.71           121.39
3559.06         78.93           91.28
3657.99         78.95           112.70
