Freq [Hz]       dBSPL           Phase [Deg]
20.00           51.82           -51.91
20.56           51.31           -52.93
21.13           50.91           -53.59
21.71           50.65           -53.82
22.32           50.58           -53.67
22.94           50.18           -53.90
23.58           50.79           -53.55
24.23           52.55           -52.74
24.90           55.11           -51.90
25.60           57.97           -51.67
26.31           60.74           -52.91
27.04           63.12           -56.70
27.79           65.02           -63.94
28.56           66.47           -75.09
29.36           67.53           -90.08
30.17           68.30           -108.19
31.01           68.85           -127.99
31.87           69.22           -147.16
32.76           69.44           -162.83
33.67           69.54           -172.41
34.61           69.57           -174.19
35.57           69.66           -167.80
36.56           70.01           -154.48
37.57           70.85           -137.28
38.62           72.32           -120.13
39.69           74.39           -106.66
40.79           76.82           -99.89
41.93           79.32           -101.16
43.09           81.58           -109.50
44.29           83.46           -122.72
45.52           84.91           -138.54
46.79           85.96           -154.65
48.09           86.66           -169.36
49.42           87.10           177.81
50.80           87.31           167.12
52.21           87.34           158.84
53.66           87.19           153.18
55.15           86.91           149.86
56.69           86.63           148.23
58.26           86.59           147.43
59.88           87.07           146.91
61.54           88.12           147.53
63.26           89.51           150.62
65.01           90.95           157.04
66.82           92.31           166.15
68.68           93.59           175.79
70.59           94.85           -175.95
72.55           96.13           -169.60
74.57           97.34           -164.07
76.64           98.43           -157.78
78.77           99.37           -149.98
80.96           100.22          -140.95
83.21           101.02          -131.36
85.52           101.76          -121.55
87.90           102.43          -111.35
90.34           103.02          -100.28
92.85           103.53          -88.08
95.43           103.99          -74.79
98.08           104.43          -60.60
100.81          104.83          -45.59
103.61          105.16          -29.67
106.49          105.43          -12.76
109.45          105.67          5.24
112.49          105.87          24.28
115.62          106.02          44.27
118.84          106.12          65.26
122.14          106.16          87.45
125.53          106.14          111.00
129.02          106.10          136.01
132.61          106.08          162.48
136.29          106.05          -169.74
140.08          106.01          -140.77
143.98          105.95          -110.50
147.98          105.93          -78.76
152.09          105.94          -45.78
156.32          105.98          -11.67
160.66          106.07          23.42
165.13          106.12          59.34
169.72          106.12          96.38
174.44          106.10          134.85
179.28          106.09          174.84
184.27          106.06          -143.76
189.39          106.02          -100.83
194.65          105.98          -56.39
200.06          105.90          -10.38
205.62          105.80          37.41
211.34          105.70          87.10
217.21          105.65          138.72
223.25          105.70          -168.05
229.46          105.78          -113.27
235.83          105.76          -57.72
242.39          105.74          -0.46
249.12          105.69          58.29
256.05          105.64          119.07
263.17          105.66          -178.41
270.48          105.71          -114.50
278.00          105.66          -48.89
285.73          105.47          18.72
293.67          105.37          89.57
301.83          105.30          163.00
310.22          105.26          -121.75
318.84          105.31          -45.09
