Freq [Hz]       dBSPL           Phase [Deg]
20.00           66.96           16.45
20.56           67.05           23.40
21.13           67.16           28.40
21.71           67.26           30.91
22.32           67.37           30.73
22.94           67.56           32.39
23.58           67.77           29.09
24.23           67.98           19.93
24.90           68.20           5.40
25.60           68.41           -13.24
26.31           68.61           -33.90
27.04           68.80           -53.67
27.79           68.99           -69.59
28.56           69.16           -79.40
29.36           69.32           -81.65
30.17           69.48           -75.89
31.01           69.66           -62.85
31.87           69.86           -44.64
32.76           70.11           -24.59
33.67           70.44           -6.49
34.61           70.89           6.03
35.57           71.49           10.24
36.56           72.30           4.50
37.57           73.37           -11.50
38.62           74.75           -36.86
39.69           76.43           -69.58
40.79           78.37           -106.56
41.93           80.47           -144.29
43.09           82.61           -179.38
44.29           84.61           150.93
45.52           86.22           128.28
46.79           87.30           112.95
48.09           87.81           103.84
49.42           87.94           99.23
50.80           87.86           97.66
52.21           87.63           98.17
53.66           87.18           100.30
55.15           86.40           103.74
56.69           85.25           108.01
58.26           84.27           112.48
59.88           84.43           116.64
61.54           85.47           120.85
63.26           86.62           125.87
65.01           87.81           132.35
66.82           89.15           140.09
68.68           90.63           147.87
70.59           92.05           154.52
72.55           93.28           159.73
74.57           94.31           164.44
76.64           95.23           169.91
78.77           96.12           176.68
80.96           96.97           -175.68
83.21           97.78           -167.84
85.52           98.50           -159.95
87.90           99.08           -151.58
90.34           99.56           -142.21
92.85           99.99           -131.70
95.43           100.37          -120.23
98.08           100.68          -107.87
100.81          100.92          -94.50
103.61          101.12          -79.90
106.49          101.32          -64.02
109.45          101.55          -47.05
112.49          101.80          -29.14
115.62          102.04          -10.43
118.84          102.24          8.92
122.14          102.37          28.91
125.53          102.44          49.68
129.02          102.42          71.42
132.61          102.31          94.16
136.29          102.15          117.91
140.08          101.93          143.45
143.98          101.65          170.88
147.98          101.37          -160.46
152.09          101.07          -130.42
156.32          100.79          -98.98
160.66          100.52          -66.36
165.13          100.26          -32.16
169.72          100.01          4.33
174.44          99.76           42.26
179.28          99.48           81.21
184.27          99.23           122.07
189.39          99.08           164.51
194.65          99.04           -151.81
200.06          99.10           -107.07
205.62          99.17           -61.62
211.34          99.18           -15.12
217.21          99.12           32.32
223.25          98.90           80.66
229.46          98.73           129.76
235.83          98.51           -177.80
242.39          98.19           -124.42
249.12          97.74           -68.84
256.05          97.29           -10.64
263.17          97.04           49.66
270.48          96.82           111.58
278.00          96.86           175.25
285.73          96.79           -117.54
293.67          96.61           -50.24
301.83          96.40           20.13
310.22          96.36           91.32
318.84          96.41           163.91
327.70          96.14           -120.27
336.81          95.86           -42.23
346.17          95.55           37.99
355.80          95.15           120.80
365.68          94.90           -152.66
375.85          94.69           -65.04
386.29          94.40           24.23
397.03          93.60           115.76
408.07          93.23           -145.52
419.41          92.79           -47.02
431.07          92.27           53.72
443.05          91.72           160.32
455.36          91.33           -93.11
468.02          90.27           15.79
481.03          88.75           136.21
494.40          88.30           -94.85
508.14          88.15           31.09
522.26          88.54           160.31
536.78          88.83           -68.14
551.70          89.18           66.81
567.03          89.58           -157.78
582.79          89.82           -15.89
598.99          90.17           126.46
615.64          90.01           -92.38
632.75          89.63           54.61
650.34          89.29           -154.04
668.42          88.52           6.83
686.99          88.27           171.34
706.09          87.44           -18.62
725.71          87.19           157.84
745.89          86.73           -21.30
766.62          87.31           162.90
787.93          87.28           -14.26
809.83          86.81           179.76
832.33          86.66           22.19
855.47          86.16           -147.85
879.25          85.88           26.03
903.68          85.39           -156.06
928.80          85.06           29.39
954.62          83.75           -139.20
981.15          83.20           69.92
1008.42         85.06           -75.52
1036.45         85.87           125.68
1065.26         85.99           -12.86
1094.87         86.72           -105.18
1125.30         88.56           170.29
1156.58         90.42           89.89
1188.72         91.47           14.11
1221.76         92.41           -62.64
1255.72         92.25           -132.20
1290.62         91.98           -177.22
1326.50         92.03           145.21
1363.37         91.96           109.60
1401.26         91.74           83.03
1440.21         90.61           68.82
1480.24         89.37           70.91
1521.38         86.93           83.78
1563.67         86.64           121.30
1607.13         87.59           159.60
1651.80         88.83           -159.13
1697.71         89.30           -107.93
1744.90         89.53           -43.39
1793.40         89.56           31.90
1843.24         89.56           119.69
1894.48         89.41           -144.29
1947.13         89.28           -37.49
2001.25         88.86           78.46
2056.88         87.74           -149.35
2114.05         86.08           1.23
2172.81         85.34           168.12
2233.20         83.73           -12.90
2295.27         83.11           -173.41
2359.07         81.21           28.11
2424.64         80.42           -141.29
2492.03         79.85           58.83
2561.29         78.34           -103.52
2632.48         77.72           65.47
2705.65         77.28           -115.32
2780.86         77.47           86.74
2858.15         78.02           -58.76
2937.59         78.20           176.14
3019.24         78.19           106.82
3103.16         78.25           68.79
3189.41         78.82           56.40
3278.06         79.11           116.65
3369.17         79.44           -141.40
3462.82         79.32           -18.55
3559.06         79.01           128.41
3657.99         78.76           -60.61
3759.66         78.49           139.30
3864.16         77.96           4.66
3971.56         77.09           -113.03
4081.95         76.46           87.71
4195.41         75.77           -72.85
4312.02         74.77           137.16
4431.87         73.74           -37.60
4555.05         72.94           129.45
4681.66         72.97           -49.91
4811.78         73.33           158.74
4945.53         73.76           34.57
5082.99         73.92           -35.59
5224.27         73.79           -42.71
5369.47         73.74           24.98
5518.72         73.72           156.73
5672.11         73.32           23.84
5829.76         73.42           -71.48
5991.80         73.22           -127.02
6158.34         72.58           -141.03
6329.51         72.40           -76.02
6505.44         72.70           41.82
6686.25         72.95           -178.39
6872.10         72.89           -11.45
7063.10         73.64           -157.16
7259.42         74.52           129.81
7461.19         75.40           113.79
7668.58         75.78           138.13
7881.72         75.66           155.54
8100.79         75.32           164.53
8325.95         75.10           172.13
8557.37         75.23           -101.81
8795.22         75.37           37.87
9039.68         74.65           -122.27
9290.93         73.80           128.29
9549.17         73.07           44.18
9814.59         73.29           -47.06
10087.38        73.28           -161.97
10367.76        73.27           47.63
10655.93        73.20           118.88
10952.11        72.92           94.39
11256.52        72.33           57.48
11569.39        71.99           -50.48
11890.96        71.90           157.66
12221.46        71.79           66.49
12561.16        71.28           148.64
12910.29        71.24           -143.95
13269.13        71.29           -102.79
13637.94        71.07           -125.38
14017.00        70.72           -3.78
14406.60        70.66           -22.34
14807.03        69.94           -142.77
15218.59        69.34           -55.87
15641.58        69.27           -69.35
16076.34        68.95           -38.84
16523.17        68.68           56.02
16982.43        66.96           -67.70
17454.45        66.67           85.78
17939.60        67.37           77.57
18438.22        66.98           -41.90
18950.71        66.70           -132.07
19477.44        72.03           -12.25
20018.81        75.60           -59.00
20575.22        76.13           -81.42
21147.11        76.77           74.23
21734.88        77.50           140.78
