Freq [Hz]       dBSPL           Phase [Deg]
20.00           65.45           30.14
20.56           65.58           38.54
21.13           65.73           45.50
21.71           65.88           50.54
22.32           66.06           53.38
22.94           66.34           59.88
23.58           66.66           62.39
24.23           67.00           59.30
24.90           67.34           50.30
25.60           67.68           35.51
26.31           68.00           15.49
27.04           68.29           -8.69
27.79           68.55           -35.78
28.56           68.76           -64.62
29.36           68.92           -94.24
30.17           69.05           -123.81
31.01           69.16           -152.74
31.87           69.26           179.27
32.76           69.39           152.24
33.67           69.58           125.87
34.61           69.90           99.67
35.57           70.41           73.10
36.56           71.18           45.60
37.57           72.31           16.62
38.62           73.84           -14.17
39.69           75.75           -46.63
40.79           77.90           -79.99
41.93           80.12           -112.83
43.09           82.19           -143.11
44.29           83.96           -168.89
45.52           85.34           170.99
46.79           86.32           156.68
48.09           86.91           147.11
49.42           87.20           140.38
50.80           87.25           135.09
52.21           87.11           130.57
53.66           86.75           126.98
55.15           86.17           124.61
56.69           85.43           123.40
58.26           84.77           122.86
59.88           84.67           122.58
61.54           85.38           123.37
63.26           86.61           126.39
65.01           87.99           132.46
66.82           89.34           140.94
68.68           90.65           149.71
70.59           91.92           156.91
72.55           93.17           162.03
74.57           94.33           166.23
76.64           95.34           171.13
78.77           96.22           177.51
80.96           97.02           -174.88
83.21           97.79           -166.76
85.52           98.51           -158.53
87.90           99.16           -150.02
90.34           99.70           -140.77
92.85           100.14          -130.45
95.43           100.48          -119.01
98.08           100.76          -106.48
100.81          101.02          -92.88
103.61          101.24          -78.23
106.49          101.44          -62.45
109.45          101.64          -45.48
112.49          101.86          -27.42
115.62          102.08          -8.56
118.84          102.28          10.85
122.14          102.41          30.82
125.53          102.45          51.63
129.02          102.42          73.47
132.61          102.35          96.65
136.29          102.24          121.50
140.08          102.05          147.55
143.98          101.78          174.74
147.98          101.46          -156.33
152.09          101.18          -125.95
156.32          100.92          -94.51
160.66          100.65          -61.67
165.13          100.35          -27.07
169.72          100.03          8.77
174.44          99.69           46.16
179.28          99.44           85.55
184.27          99.25           126.44
189.39          99.11           168.84
194.65          99.09           -147.38
200.06          99.17           -102.69
205.62          99.23           -57.21
211.34          99.23           -11.02
217.21          99.11           36.65
223.25          99.00           87.53
229.46          98.79           140.15
235.83          98.61           -168.00
242.39          98.23           -114.24
249.12          97.77           -58.24
256.05          97.37           0.20
263.17          97.05           60.82
270.48          96.94           123.30
278.00          96.79           -173.88
285.73          96.71           -110.74
293.67          96.40           -42.92
