Freq [Hz]       dBSPL           Phase [Deg]
20.00           59.73           -72.95
20.56           60.38           -79.25
21.13           60.85           -84.73
21.71           61.08           -89.14
22.32           61.11           -92.35
22.94           61.24           -99.13
23.58           61.20           -104.02
24.23           60.95           -106.03
24.90           60.48           -105.18
25.60           59.72           -101.71
26.31           58.64           -96.21
27.04           57.23           -89.53
27.79           55.64           -82.68
28.56           54.12           -76.55
29.36           53.18           -71.97
30.17           53.32           -69.61
31.01           54.54           -69.99
31.87           56.25           -73.45
32.76           57.91           -80.11
33.67           59.26           -89.90
34.61           60.25           -102.66
35.57           60.92           -118.22
36.56           61.30           -136.44
37.57           61.45           -157.23
38.62           61.38           179.70
39.69           61.06           154.96
40.79           60.47           129.65
41.93           59.61           105.40
43.09           58.63           84.47
44.29           58.12           68.98
45.52           59.57           60.30
46.79           63.48           58.83
48.09           67.99           63.78
49.42           71.85           73.45
50.80           74.91           86.08
52.21           77.33           100.05
53.66           79.33           113.88
55.15           81.08           126.20
56.69           82.68           136.04
58.26           84.22           143.03
59.88           85.75           147.62
61.54           87.30           151.14
63.26           88.86           154.94
65.01           90.39           159.83
66.82           91.86           165.86
68.68           93.24           172.52
70.59           94.54           179.32
72.55           95.76           -173.94
74.57           96.91           -167.11
76.64           97.97           -159.92
78.77           98.94           -152.19
80.96           99.82           -143.86
83.21           100.61          -134.90
85.52           101.31          -125.29
87.90           101.94          -114.94
90.34           102.51          -103.76
92.85           103.02          -91.69
95.43           103.49          -78.67
98.08           103.90          -64.69
100.81          104.26          -49.76
103.61          104.58          -33.87
106.49          104.86          -17.01
109.45          105.10          0.88
112.49          105.30          19.78
115.62          105.46          39.65
118.84          105.56          60.49
122.14          105.59          82.44
125.53          105.57          105.74
129.02          105.51          130.49
132.61          105.45          156.68
136.29          105.37          -175.77
140.08          105.29          -146.95
143.98          105.21          -116.77
147.98          105.15          -85.11
152.09          105.13          -52.09
156.32          105.17          -17.94
160.66          105.25          17.13
165.13          105.32          53.09
169.72          105.35          90.17
174.44          105.35          128.52
179.28          105.33          168.35
184.27          105.31          -150.39
189.39          105.28          -107.69
194.65          105.23          -63.52
200.06          105.15          -17.83
205.62          105.03          29.63
211.34          104.90          79.13
217.21          104.81          130.57
223.25          104.78          -176.46
229.46          104.77          -122.21
235.83          104.75          -66.61
242.39          104.70          -9.57
249.12          104.64          49.21
256.05          104.61          109.87
263.17          104.65          172.19
270.48          104.71          -124.18
278.00          104.70          -58.88
285.73          104.62          8.84
293.67          104.51          79.27
301.83          104.43          152.26
310.22          104.39          -132.56
318.84          104.32          -55.61
327.70          104.15          23.79
336.81          103.98          105.95
346.17          103.87          -169.71
355.80          103.72          -83.31
365.68          103.50          6.23
375.85          103.35          98.86
386.29          103.20          -166.39
397.03          103.00          -68.27
408.07          103.05          33.14
419.41          103.17          136.31
431.07          103.08          -117.84
443.05          102.96          -7.90
455.36          103.05          104.29
468.02          102.99          -141.19
481.03          102.90          -21.41
494.40          103.04          101.50
508.14          103.10          -133.34
522.26          103.08          -4.00
536.78          103.15          129.18
551.70          103.34          -94.31
567.03          103.56          45.67
582.79          103.78          -170.97
598.99          103.97          -25.51
615.64          103.90          123.02
632.75          103.62          -82.19
650.34          103.39          77.74
668.42          103.09          -116.78
686.99          102.92          53.12
706.09          102.59          -132.09
725.71          102.30          47.83
745.89          102.12          -126.30
766.62          101.95          63.98
787.93          102.01          -100.15
809.83          101.97          100.36
832.33          102.01          -54.10
855.47          101.87          156.93
879.25          101.87          14.04
903.68          101.73          -123.48
928.80          101.53          104.82
954.62          101.15          -19.95
981.15          100.88          -138.06
1008.42         100.55          111.75
1036.45         100.16          9.25
1065.26         99.72           -86.14
1094.87         99.35           -173.42
1125.30         98.84           105.76
1156.58         98.44           36.42
1188.72         98.70           -26.42
1221.76         99.24           -83.37
1255.72         99.62           -133.76
1290.62         99.87           -178.61
1326.50         99.84           143.45
1363.37         99.61           114.31
1401.26         99.20           95.52
1440.21         98.97           87.45
1480.24         98.27           86.02
1521.38         96.95           91.69
1563.67         95.54           114.77
1607.13         94.00           143.02
1651.80         92.48           178.93
1697.71         92.28           -136.13
1744.90         91.99           -84.25
1793.40         91.91           -18.67
1843.24         91.41           59.93
1894.48         91.51           155.44
1947.13         91.97           -97.85
2001.25         92.37           23.77
2056.88         92.66           168.17
2114.05         92.71           -30.52
2172.81         92.91           152.03
2233.20         93.43           -12.25
2295.27         93.74           -159.61
2359.07         93.79           67.46
2424.64         93.74           -46.51
2492.03         93.74           -141.93
2561.29         93.89           137.91
2632.48         94.10           76.14
2705.65         94.08           30.99
2780.86         93.81           4.97
2858.15         93.29           -1.70
2937.59         92.76           14.60
3019.24         92.25           54.71
3103.16         91.62           120.75
3189.41         91.14           -153.18
3278.06         90.47           -43.41
3369.17         89.78           90.52
3462.82         89.77           -112.03
3559.06         90.10           66.44
3657.99         90.22           -90.74
3759.66         90.28           132.71
3864.16         90.13           5.98
3971.56         89.66           -107.07
4081.95         89.18           166.39
4195.41         88.36           110.38
4312.02         87.78           82.38
4431.87         87.38           83.66
4555.05         87.45           117.13
4681.66         87.45           -176.69
4811.78         87.58           -77.06
4945.53         87.68           84.78
5082.99         87.64           -79.08
5224.27         87.47           151.55
5369.47         86.62           53.56
5518.72         85.18           -31.11
5672.11         83.14           -92.55
5829.76         81.83           -131.49
5991.80         81.33           -128.19
6158.34         82.58           -86.67
6329.51         84.45           -3.00
6505.44         85.67           122.89
6686.25         85.95           -66.46
6872.10         86.16           -175.37
7063.10         86.59           138.65
7259.42         87.76           172.82
7461.19         89.43           -102.68
7668.58         90.50           28.19
7881.72         90.70           -146.49
8100.79         90.63           97.29
8325.95         90.76           40.81
8557.37         90.86           36.16
8795.22         90.77           89.45
9039.68         90.44           -174.87
9290.93         89.41           -41.08
9549.17         87.69           151.49
9814.59         87.29           46.97
10087.38        89.00           4.85
10367.76        89.96           28.93
10655.93        90.55           124.02
10952.11        90.92           -66.92
11256.52        91.06           173.36
11569.39        91.20           158.41
11890.96        91.87           -138.10
12221.46        92.48           9.69
12561.16        92.02           -118.20
12910.29        91.21           -158.91
13269.13        90.59           -111.75
13637.94        90.19           24.00
14017.00        90.06           -103.45
14406.60        90.06           -127.15
14807.03        89.36           -47.05
15218.59        87.48           133.92
15641.58        85.93           57.14
16076.34        84.94           87.30
16523.17        84.29           -128.56
16982.43        83.34           131.95
17454.45        82.59           153.52
17939.60        81.58           -60.73
18438.22        81.11           -146.63
18950.71        80.38           -171.05
19477.44        78.41           111.33
20018.81        77.78           177.52
20575.22        77.93           21.38
21147.11        77.43           -116.52
21734.88        76.62           102.31
