Freq [Hz]       dBSPL           Phase [Deg]
20.00           66.16           -67.46
20.56           66.32           -70.08
21.13           66.33           -71.70
21.71           66.19           -72.08
22.32           65.93           -71.16
22.94           65.67           -70.56
23.58           65.23           -67.37
24.23           64.57           -61.29
24.90           63.64           -52.61
25.60           62.39           -41.97
26.31           60.77           -30.38
27.04           58.83           -19.23
27.79           56.76           -10.01
28.56           54.99           -4.07
29.36           54.28           -2.52
30.17           55.21           -6.22
31.01           57.24           -15.73
31.87           59.42           -31.23
32.76           61.16           -52.43
33.67           62.40           -78.36
34.61           63.26           -107.47
35.57           63.88           -137.72
36.56           64.38           -166.51
37.57           64.90           169.28
38.62           65.62           152.59
39.69           66.64           145.28
40.79           67.80           147.83
41.93           68.60           159.00
43.09           68.81           175.64
44.29           68.70           -166.11
45.52           68.52           -149.75
46.79           68.28           -138.28
48.09           67.89           -133.63
49.42           67.14           -136.17
50.80           66.61           -145.30
52.21           71.83           -159.42
53.66           78.71           -175.84
55.15           82.52           168.75
56.69           84.35           156.90
58.26           85.39           149.97
59.88           86.32           147.94
61.54           87.47           149.57
63.26           88.94           153.50
65.01           90.51           158.70
66.82           91.89           164.52
68.68           93.07           170.72
70.59           94.23           177.15
72.55           95.42           -176.21
74.57           96.59           -169.33
76.64           97.68           -162.11
78.77           98.66           -154.46
80.96           99.52           -146.28
83.21           100.29          -137.50
85.52           100.98          -128.03
87.90           101.61          -117.82
90.34           102.17          -106.79
92.85           102.66          -94.87
95.43           103.10          -81.99
98.08           103.49          -68.11
100.81          103.84          -53.23
103.61          104.15          -37.40
106.49          104.42          -20.59
109.45          104.66          -2.74
112.49          104.86          16.11
115.62          105.02          35.87
118.84          105.12          56.57
122.14          105.16          78.35
125.53          105.12          101.43
129.02          105.06          125.96
132.61          104.98          151.97
136.29          104.88          179.38
140.08          104.78          -151.93
143.98          104.67          -121.84
147.98          104.57          -90.20
152.09          104.53          -57.22
156.32          104.55          -23.03
160.66          104.62          12.12
165.13          104.69          48.10
169.72          104.72          85.13
174.44          104.73          123.40
179.28          104.71          163.16
184.27          104.70          -155.73
189.39          104.68          -113.18
194.65          104.65          -69.25
200.06          104.57          -23.84
205.62          104.43          23.34
211.34          104.28          72.67
217.21          104.18          123.96
223.25          104.11          176.74
229.46          104.08          -129.23
235.83          104.04          -73.72
242.39          103.98          -16.74
249.12          103.92          42.03
256.05          103.89          102.63
