Freq [Hz]       dBSPL           Phase [Deg]
20.00           57.36           1.44
20.56           57.19           2.88
21.13           57.06           3.21
21.71           57.00           2.16
22.32           57.01           -0.36
22.94           56.97           -3.85
23.58           57.09           -10.37
24.23           57.40           -20.05
24.90           57.81           -32.53
25.60           58.26           -47.03
26.31           58.62           -62.32
27.04           58.83           -76.73
27.79           58.86           -88.60
28.56           58.71           -96.67
29.36           58.39           -100.18
30.17           57.87           -98.98
31.01           57.14           -93.63
31.87           56.14           -85.49
32.76           54.90           -76.66
33.67           53.60           -69.47
34.61           52.76           -66.09
35.57           53.17           -68.09
36.56           55.11           -76.33
37.57           57.91           -90.80
38.62           60.88           -110.75
39.69           63.70           -134.78
40.79           66.26           -160.95
41.93           68.54           172.85
43.09           70.51           148.55
44.29           72.20           127.69
45.52           73.63           111.32
46.79           74.81           99.85
48.09           75.80           93.12
49.42           76.63           90.66
50.80           77.35           91.87
52.21           78.03           95.98
53.66           78.79           102.06
55.15           79.76           109.17
56.69           81.03           116.53
58.26           82.53           123.64
59.88           84.09           130.28
61.54           85.59           136.41
63.26           87.02           142.09
65.01           88.44           147.45
66.82           89.89           152.68
68.68           91.31           157.98
70.59           92.65           163.46
72.55           93.86           169.22
74.57           94.96           175.33
76.64           95.96           -178.10
78.77           96.90           -171.03
80.96           97.76           -163.50
83.21           98.54           -155.51
85.52           99.22           -146.98
87.90           99.81           -137.71
90.34           100.32          -127.56
92.85           100.76          -116.49
95.43           101.13          -104.49
98.08           101.44          -91.49
100.81          101.70          -77.39
103.61          101.94          -62.17
106.49          102.16          -45.83
109.45          102.38          -28.47
112.49          102.60          -10.19
115.62          102.79          8.91
118.84          102.93          28.75
122.14          103.00          49.34
125.53          102.98          70.89
129.02          102.89          93.72
132.61          102.74          118.07
136.29          102.53          143.95
140.08          102.28          171.24
143.98          102.00          -160.02
147.98          101.69          -129.71
152.09          101.39          -97.76
156.32          101.15          -64.23
160.66          100.98          -29.25
165.13          100.87          6.88
169.72          100.81          44.02
174.44          100.75          82.34
179.28          100.69          122.10
184.27          100.67          163.29
189.39          100.71          -154.28
194.65          100.78          -110.91
200.06          100.81          -66.67
205.62          100.76          -21.33
211.34          100.58          25.85
217.21          100.36          75.42
223.25          100.19          126.76
229.46          100.02          179.46
235.83          99.76           -126.20
242.39          99.45           -69.98
249.12          99.15           -11.53
256.05          98.95           49.14
263.17          98.93           111.50
270.48          99.02           174.92
278.00          99.05           -120.51
285.73          98.94           -53.65
293.67          98.85           15.73
301.83          98.81           87.44
310.22          98.79           160.83
318.84          98.73           -124.05
327.70          98.54           -45.98
336.81          98.37           34.82
346.17          98.26           118.02
355.80          98.26           -156.83
365.68          98.20           -70.46
375.85          98.00           18.78
386.29          97.73           110.83
397.03          97.39           -152.77
408.07          97.33           -52.92
419.41          97.38           48.88
431.07          97.33           153.09
443.05          97.26           -99.76
455.36          97.16           10.38
468.02          97.17           123.60
481.03          97.20           -118.92
494.40          97.51           0.34
508.14          97.70           120.75
522.26          97.73           -115.26
536.78          97.72           11.48
551.70          97.51           141.43
567.03          97.19           -83.48
582.79          96.93           56.10
598.99          96.76           -161.61
615.64          96.31           -16.26
632.75          95.62           135.51
650.34          94.91           -67.13
668.42          93.88           96.15
686.99          93.01           -95.18
706.09          92.37           79.28
725.71          91.97           -103.86
745.89          91.32           78.35
766.62          90.69           -94.25
787.93          90.53           98.08
809.83          90.11           -65.30
832.33          89.78           138.62
855.47          89.32           -14.39
879.25          88.73           -176.06
903.68          87.39           11.64
928.80          86.62           -155.65
954.62          86.08           41.74
981.15          85.82           -115.36
1008.42         85.90           98.91
1036.45         86.52           -44.49
1065.26         87.34           179.12
1094.87         88.51           52.30
1125.30         89.37           -42.06
1156.58         89.58           -123.84
1188.72         89.72           163.01
1221.76         89.86           99.10
1255.72         90.12           39.14
1290.62         89.95           -16.61
1326.50         89.25           -60.92
1363.37         88.29           -105.92
1401.26         87.71           -156.29
1440.21         87.43           158.37
1480.24         86.91           125.12
1521.38         86.47           100.57
1563.67         85.64           98.22
1607.13         86.47           109.33
1651.80         88.12           128.17
1697.71         89.49           158.51
1744.90         89.96           -139.13
1793.40         90.29           -55.41
1843.24         90.66           36.37
1894.48         90.91           140.89
1947.13         90.98           -106.42
2001.25         90.89           15.15
2056.88         90.31           154.49
2114.05         89.31           -50.08
2172.81         88.44           123.85
2233.20         87.47           -47.83
2295.27         86.37           157.10
2359.07         85.02           20.94
2424.64         83.82           -99.35
2492.03         82.72           156.93
2561.29         81.23           60.48
2632.48         80.46           -36.90
2705.65         79.42           -118.06
2780.86         78.63           179.07
2858.15         78.00           133.31
2937.59         77.88           106.74
3019.24         77.91           99.65
3103.16         78.23           116.35
3189.41         78.74           156.26
3278.06         79.04           -122.34
3369.17         79.42           -7.65
3462.82         79.30           125.88
3559.06         78.92           -71.50
3657.99         78.64           117.92
3759.66         78.50           -26.37
3864.16         77.95           -145.23
3971.56         77.24           124.21
4081.95         76.59           62.80
4195.41         76.15           29.32
4312.02         75.82           6.72
4431.87         75.62           -43.98
4555.05         75.47           -66.93
4681.66         75.41           -62.18
4811.78         75.84           -24.46
4945.53         76.66           43.67
5082.99         77.04           143.13
5224.27         77.08           -81.27
5369.47         77.19           92.86
5518.72         77.23           0.24
5672.11         77.24           -70.79
5829.76         77.05           -148.04
5991.80         76.45           179.38
6158.34         75.61           -172.25
6329.51         75.06           -116.45
6505.44         74.87           -17.41
6686.25         74.58           124.60
6872.10         74.18           -41.79
7063.10         74.76           -146.29
7259.42         76.03           -139.12
7461.19         77.37           -82.04
7668.58         77.64           19.04
7881.72         77.41           175.53
8100.79         77.06           -39.91
8325.95         76.84           113.14
8557.37         77.30           -39.11
8795.22         77.79           -139.12
9039.68         77.58           179.57
9290.93         76.45           -155.23
9549.17         75.89           -110.80
9814.59         76.09           -38.41
10087.38        76.27           43.95
10367.76        76.28           98.95
10655.93        75.92           39.49
10952.11        74.98           -64.63
11256.52        74.46           -177.53
11569.39        74.24           61.14
11890.96        74.52           -43.07
12221.46        74.30           -61.02
12561.16        73.99           47.80
12910.29        74.02           -12.21
13269.13        73.86           -52.74
13637.94        73.61           143.27
14017.00        73.02           179.15
14406.60        72.71           109.44
14807.03        71.79           5.73
15218.59        70.51           -95.68
15641.58        70.10           59.87
16076.34        69.82           -87.24
16523.17        69.47           -100.16
16982.43        68.96           150.51
17454.45        68.76           133.56
17939.60        68.69           78.42
18438.22        68.08           107.80
18950.71        67.54           -78.59
19477.44        68.97           23.64
20018.81        71.71           -71.33
20575.22        72.14           53.11
21147.11        72.71           -61.42
21734.88        73.32           2.58
