Freq [Hz]       dBSPL           Phase [Deg]
20.00           66.04           -123.51
20.56           66.56           -116.80
21.13           66.97           -112.07
21.71           67.25           -109.71
22.32           67.40           -109.87
22.94           67.68           -107.91
23.58           67.81           -110.75
24.23           67.79           -119.15
24.90           67.60           -132.47
25.60           67.24           -149.45
26.31           66.74           -168.11
27.04           66.13           174.27
27.79           65.51           160.38
28.56           65.04           152.29
29.36           64.89           151.30
30.17           65.19           157.77
31.01           65.93           170.97
31.87           66.94           -171.12
32.76           68.04           -151.64
33.67           69.09           -134.15
34.61           70.07           -122.02
35.57           70.98           -117.79
36.56           71.90           -122.92
37.57           72.91           -137.62
38.62           74.13           -161.01
39.69           75.64           168.78
40.79           77.42           134.50
41.93           79.34           99.19
43.09           81.16           65.64
44.29           82.72           36.32
45.52           83.94           13.28
46.79           84.82           -1.98
48.09           85.39           -8.41
49.42           85.70           -5.46
50.80           85.81           6.37
52.21           85.72           25.23
53.66           85.47           47.79
55.15           85.09           70.44
56.69           84.74           90.71
58.26           84.64           107.67
59.88           84.91           121.59
61.54           85.54           132.46
63.26           86.44           139.93
65.01           87.63           143.78
66.82           89.06           145.11
68.68           90.59           146.36
70.59           91.97           149.62
72.55           93.12           155.50
74.57           94.13           162.85
76.64           95.10           170.12
78.77           96.05           176.60
80.96           96.94           -177.30
83.21           97.71           -170.70
85.52           98.38           -162.97
87.90           98.98           -154.03
90.34           99.53           -144.22
92.85           100.02          -133.82
95.43           100.41          -122.74
98.08           100.69          -110.63
100.81          100.90          -97.23
103.61          101.11          -82.56
106.49          101.34          -66.74
109.45          101.55          -49.88
112.49          101.76          -32.09
115.62          101.99          -13.44
118.84          102.20          5.91
122.14          102.34          25.81
125.53          102.42          46.50
129.02          102.42          68.09
132.61          102.34          90.58
136.29          102.22          114.26
140.08          102.04          139.61
143.98          101.79          166.67
147.98          101.51          -164.87
152.09          101.25          -134.87
156.32          101.03          -103.78
160.66          100.78          -71.71
165.13          100.51          -37.81
169.72          100.22          -1.74
174.44          99.93           35.76
179.28          99.63           74.59
184.27          99.36           115.20
189.39          99.16           157.49
194.65          99.08           -158.94
200.06          99.08           -114.14
205.62          99.17           -68.32
211.34          99.21           -22.08
217.21          99.15           25.63
223.25          99.24           75.41
229.46          99.33           126.77
235.83          99.17           178.03
242.39          98.93           -128.60
249.12          98.59           -73.72
256.05          98.25           -16.01
263.17          98.00           43.80
270.48          97.92           105.47
278.00          97.75           168.10
285.73          97.27           -128.51
293.67          97.03           -61.04
301.83          96.93           8.71
310.22          96.81           79.69
318.84          96.77           151.08
327.70          96.53           -133.55
336.81          96.31           -55.87
