Freq [Hz]       dBSPL           Phase [Deg]
20.00           58.67           -65.59
20.56           58.99           -66.94
21.13           59.27           -67.33
21.71           59.50           -66.58
22.32           59.66           -64.63
22.94           59.94           -62.10
23.58           60.15           -57.07
24.23           60.27           -49.46
24.90           60.31           -39.63
25.60           60.27           -28.27
26.31           60.20           -16.42
27.04           60.16           -5.51
27.79           60.21           2.97
28.56           60.45           7.70
29.36           60.92           7.57
30.17           61.62           1.76
31.01           62.46           -10.21
31.87           63.31           -28.44
32.76           64.07           -52.54
33.67           64.68           -81.48
34.61           65.16           -113.67
35.57           65.54           -147.09
36.56           65.90           -179.22
37.57           66.35           152.91
38.62           67.08           132.17
39.69           68.28           120.61
40.79           69.92           119.23
41.93           71.61           127.71
43.09           72.89           144.24
44.29           73.67           166.11
45.52           74.10           -169.85
46.79           74.37           -147.26
48.09           74.61           -129.82
49.42           74.99           -120.39
50.80           75.86           -120.26
52.21           77.53           -128.90
53.66           79.61           -143.66
55.15           81.39           -160.88
56.69           82.76           -177.53
58.26           83.92           168.39
59.88           85.13           157.89
61.54           86.55           151.66
63.26           88.16           150.06
65.01           89.75           152.87
66.82           91.18           158.94
68.68           92.47           166.44
70.59           93.70           173.90
72.55           94.91           -179.32
74.57           96.07           -172.92
76.64           97.14           -166.30
78.77           98.10           -159.07
80.96           98.95           -151.10
83.21           99.71           -142.45
85.52           100.39          -133.15
87.90           101.02          -123.15
90.34           101.57          -112.38
92.85           102.04          -100.72
95.43           102.45          -88.08
98.08           102.81          -74.39
100.81          103.13          -59.66
103.61          103.43          -43.96
106.49          103.68          -27.27
109.45          103.92          -9.55
112.49          104.12          9.15
115.62          104.29          28.72
118.84          104.40          49.15
122.14          104.43          70.59
125.53          104.39          93.29
129.02          104.30          117.40
132.61          104.19          142.96
136.29          104.06          169.93
140.08          103.92          -161.71
143.98          103.74          -131.85
147.98          103.59          -100.40
152.09          103.49          -67.50
156.32          103.46          -33.33
160.66          103.49          1.88
165.13          103.55          38.02
169.72          103.58          75.14
174.44          103.59          113.46
179.28          103.59          153.12
184.27          103.59          -165.86
