Freq [Hz]       dBSPL           Phase [Deg]
20.00           57.75           38.45
20.56           57.95           46.09
21.13           58.19           52.58
21.71           58.46           57.50
22.32           58.76           60.62
22.94           59.23           67.33
23.58           59.76           70.75
24.23           60.32           69.32
24.90           60.86           62.61
25.60           61.37           50.45
26.31           61.82           33.01
27.04           62.16           10.79
27.79           62.39           -15.36
28.56           62.50           -44.40
29.36           62.49           -75.04
30.17           62.37           -105.70
31.01           62.16           -134.51
31.87           61.86           -159.24
32.76           61.53           -177.58
33.67           61.27           172.13
34.61           61.19           170.60
35.57           61.47           177.37
36.56           62.25           -169.38
37.57           63.62           -152.98
38.62           65.54           -137.39
39.69           67.87           -126.09
40.79           70.40           -121.79
41.93           72.88           -125.53
43.09           75.11           -136.20
44.29           76.96           -151.56
45.52           78.44           -169.19
46.79           79.56           173.42
48.09           80.40           158.26
49.42           81.00           146.15
50.80           81.42           137.45
52.21           81.69           132.15
53.66           81.87           129.78
55.15           82.06           129.33
56.69           82.41           129.77
58.26           83.06           130.25
59.88           84.05           130.47
61.54           85.29           131.29
63.26           86.68           133.78
65.01           88.10           138.58
66.82           89.51           145.30
68.68           90.88           152.57
70.59           92.18           159.15
72.55           93.41           164.68
74.57           94.53           169.78
76.64           95.54           175.38
78.77           96.45           -178.04
80.96           97.28           -170.59
83.21           98.05           -162.62
85.52           98.75           -154.28
87.90           99.38           -145.44
90.34           99.91           -135.81
92.85           100.34          -125.21
95.43           100.69          -113.58
98.08           100.98          -100.88
100.81          101.23          -87.07
103.61          101.45          -72.16
106.49          101.65          -56.13
109.45          101.86          -38.98
112.49          102.07          -20.85
115.62          102.28          -1.93
118.84          102.45          17.62
122.14          102.55          37.78
125.53          102.57          58.80
129.02          102.51          80.95
132.61          102.40          104.51
136.29          102.23          129.62
140.08          102.00          156.06
143.98          101.70          -176.14
147.98          101.37          -146.70
152.09          101.05          -115.72
156.32          100.76          -83.38
160.66          100.49          -49.51
165.13          100.23          -14.08
169.72          100.01          22.56
174.44          99.79           60.61
179.28          99.61           100.31
184.27          99.50           141.51
189.39          99.46           -175.93
194.65          99.51           -132.27
200.06          99.59           -87.84
205.62          99.62           -42.64
211.34          99.54           3.74
217.21          99.36           52.04
223.25          99.18           102.87
229.46          98.97           155.22
235.83          98.70           -151.87
242.39          98.29           -96.98
249.12          97.82           -39.74
256.05          97.44           19.95
263.17          97.21           81.66
270.48          97.15           144.88
278.00          97.07           -151.18
285.73          96.93           -85.89
293.67          96.71           -17.08
301.83          96.59           54.18
310.22          96.47           126.71
318.84          96.31           -159.38
327.70          96.02           -81.93
336.81          95.71           -1.73
346.17          95.40           80.84
355.80          95.12           166.44
365.68          95.04           -106.55
375.85          94.82           -17.98
386.29          94.46           72.78
397.03          93.94           168.63
408.07          93.67           -89.54
419.41          93.51           12.88
431.07          93.25           118.40
443.05          93.17           -132.85
455.36          92.90           -22.79
468.02          92.51           92.47
481.03          92.53           -146.82
494.40          93.07           -24.27
508.14          93.81           97.13
522.26          94.40           -138.66
536.78          94.89           -11.83
551.70          95.21           117.23
567.03          95.24           -109.74
582.79          95.28           27.76
598.99          95.38           167.02
615.64          95.18           -49.78
632.75          94.85           98.97
650.34          94.23           -107.08
668.42          93.49           53.48
686.99          92.91           -141.96
706.09          92.21           28.96
725.71          91.98           -155.91
745.89          91.68           23.67
766.62          91.41           -153.60
787.93          91.04           33.88
809.83          90.61           -133.86
832.33          90.16           67.05
855.47          89.53           -83.90
879.25          89.03           128.87
903.68          88.02           -10.60
928.80          86.78           -139.21
954.62          84.76           98.59
981.15          84.93           -13.86
1008.42         85.42           -121.99
1036.45         85.60           115.75
1065.26         85.97           -24.04
1094.87         86.71           -155.92
1125.30         88.43           79.08
1156.58         89.61           -46.60
1188.72         90.48           -166.54
1221.76         90.38           64.99
1255.72         90.17           -76.17
1290.62         90.15           151.82
1326.50         90.03           64.03
1363.37         89.59           -15.88
1401.26         88.72           -112.69
1440.21         87.54           155.81
1480.24         85.02           77.23
1521.38         83.80           16.73
1563.67         84.20           1.09
1607.13         84.59           4.39
1651.80         86.10           14.63
1697.71         87.86           37.26
1744.90         88.60           86.69
1793.40         88.86           164.93
1843.24         89.20           -104.17
1894.48         89.37           -2.46
1947.13         89.48           105.18
2001.25         89.26           -137.09
2056.88         88.74           0.51
2114.05         87.50           151.93
2172.81         86.23           -38.97
2233.20         85.30           146.28
2295.27         83.90           -8.34
2359.07         82.87           -148.95
2424.64         80.64           88.65
2492.03         79.09           -15.85
2561.29         78.00           -102.77
2632.48         76.63           -161.20
2705.65         76.84           155.92
2780.86         76.78           125.88
2858.15         77.00           115.47
2937.59         76.91           122.34
3019.24         76.92           151.79
3103.16         77.23           -158.44
3189.41         77.56           -84.81
3278.06         78.04           -1.89
3369.17         77.85           101.32
3462.82         77.53           -127.36
3559.06         77.10           26.00
3657.99         76.45           -177.19
3759.66         76.08           -43.64
3864.16         75.69           103.84
3971.56         75.27           -119.38
4081.95         74.33           43.58
4195.41         73.95           -124.61
4312.02         73.24           92.51
4431.87         72.74           -27.38
4555.05         72.87           -137.78
4681.66         73.28           -162.22
4811.78         74.11           -138.15
4945.53         74.87           -54.86
5082.99         75.12           76.23
5224.27         75.24           -118.10
5369.47         75.13           85.32
5518.72         75.05           -44.86
5672.11         75.06           -166.63
5829.76         75.05           106.17
