Freq [Hz]       dBSPL           Phase [Deg]
20.00           60.93           -69.08
20.56           62.50           -63.57
21.13           63.91           -59.37
21.71           65.05           -56.88
22.32           65.88           -56.25
22.94           66.82           -53.79
23.58           67.52           -54.55
24.23           67.97           -59.28
24.90           68.20           -67.59
25.60           68.22           -78.59
26.31           68.02           -90.75
27.04           67.61           -101.94
27.79           66.99           -110.02
28.56           66.22           -113.38
29.36           65.41           -111.08
30.17           64.70           -102.92
31.01           64.27           -89.64
31.87           64.27           -73.06
32.76           64.76           -55.92
33.67           65.73           -41.27
34.61           67.09           -31.99
35.57           68.75           -30.24
36.56           70.61           -37.24
37.57           72.55           -53.15
38.62           74.48           -77.13
39.69           76.37           -107.45
40.79           78.20           -141.54
41.93           80.01           -176.50
43.09           81.79           150.48
44.29           83.50           121.83
45.52           85.00           99.39
46.79           86.12           84.22
48.09           86.76           76.66
49.42           86.99           76.50
50.80           86.98           82.92
52.21           86.81           94.39
53.66           86.50           108.58
55.15           86.06           123.03
56.69           85.70           135.99
58.26           86.02           146.69
59.88           87.10           155.23
61.54           88.37           161.88
63.26           89.57           166.86
65.01           90.83           170.48
66.82           92.29           173.50
68.68           93.87           177.11
70.59           95.34           -177.85
72.55           96.56           -171.18
74.57           97.61           -163.38
76.64           98.62           -155.10
78.77           99.63           -146.71
80.96           100.57          -138.25
83.21           101.40          -129.48
85.52           102.10          -120.03
87.90           102.71          -109.54
90.34           103.28          -97.94
92.85           103.83          -85.41
95.43           104.35          -72.10
98.08           104.80          -58.03
100.81          105.17          -43.06
103.61          105.51          -27.02
106.49          105.81          -9.92
109.45          106.05          8.11
112.49          106.25          27.05
115.62          106.40          47.08
118.84          106.50          68.22
122.14          106.54          90.55
125.53          106.53          114.27
129.02          106.51          139.42
132.61          106.49          165.93
136.29          106.47          -166.21
140.08          106.45          -137.10
143.98          106.43          -106.82
147.98          106.40          -75.17
152.09          106.42          -42.10
156.32          106.49          -7.94
160.66          106.57          27.02
165.13          106.61          63.03
169.72          106.62          100.27
174.44          106.61          138.75
179.28          106.57          178.86
184.27          106.55          -139.60
189.39          106.51          -96.57
194.65          106.46          -51.90
200.06          106.41          -5.72
205.62          106.32          42.28
211.34          106.25          92.07
217.21          106.19          143.62
223.25          106.15          -162.76
229.46          106.08          -108.00
235.83          106.12          -52.10
242.39          106.10          5.07
249.12          106.03          63.95
256.05          105.98          124.79
263.17          105.98          -172.56
270.48          106.03          -108.24
278.00          106.04          -42.58
285.73          106.07          25.30
293.67          105.96          96.21
301.83          105.91          169.84
310.22          105.87          -114.17
318.84          105.71          -36.48
327.70          105.61          43.50
336.81          105.47          126.28
346.17          105.41          -148.50
355.80          105.36          -61.11
365.68          105.27          29.04
375.85          105.24          121.89
386.29          105.23          -143.06
397.03          105.31          -45.10
408.07          105.42          56.42
419.41          105.60          159.96
431.07          105.62          -94.02
443.05          105.58          15.67
455.36          105.66          127.83
468.02          105.66          -117.41
481.03          105.56          2.22
494.40          105.76          125.80
508.14          105.84          -108.82
522.26          105.85          21.04
536.78          106.03          154.42
551.70          106.20          -69.13
567.03          106.40          71.31
582.79          106.57          -144.88
