Freq [Hz]       dBSPL           Phase [Deg]
20.00           62.39           -40.62
20.56           62.31           -34.68
21.13           62.29           -30.02
21.71           62.36           -27.04
22.32           62.53           -25.91
22.94           62.79           -22.55
23.58           63.27           -22.40
24.23           63.97           -26.31
24.90           64.79           -34.03
25.60           65.65           -44.80
26.31           66.42           -57.28
27.04           67.02           -69.56
27.79           67.41           -79.60
28.56           67.61           -85.59
29.36           67.63           -86.08
30.17           67.48           -80.01
31.01           67.16           -66.84
31.87           66.68           -46.58
32.76           66.07           -19.93
33.67           65.50           11.72
34.61           65.31           46.38
35.57           65.88           81.76
36.56           67.28           115.20
37.57           69.18           143.76
38.62           71.18           164.76
39.69           73.10           176.51
40.79           74.91           178.59
41.93           76.63           171.98
43.09           78.34           159.19
44.29           80.04           143.33
45.52           81.60           127.31
46.79           82.86           113.65
48.09           83.65           104.19
49.42           84.02           99.60
50.80           84.12           99.92
52.21           84.07           104.60
53.66           83.92           112.33
55.15           83.77           121.32
56.69           83.89           130.05
58.26           84.77           137.55
59.88           86.22           143.61
61.54           87.71           148.91
63.26           89.08           154.28
65.01           90.44           160.29
66.82           91.90           167.02
68.68           93.42           174.07
70.59           94.85           -178.95
72.55           96.10           -172.18
74.57           97.20           -165.34
76.64           98.22           -158.03
78.77           99.21           -150.07
80.96           100.13          -141.54
83.21           100.96          -132.56
85.52           101.67          -123.02
87.90           102.29          -112.69
90.34           102.84          -101.36
92.85           103.36          -89.04
95.43           103.86          -75.84
98.08           104.29          -61.80
100.81          104.66          -46.85
103.61          104.98          -30.90
106.49          105.26          -13.91
109.45          105.50          4.06
112.49          105.71          22.98
115.62          105.86          42.89
118.84          105.96          63.86
122.14          105.99          85.99
125.53          105.97          109.46
129.02          105.92          134.39
132.61          105.88          160.78
136.29          105.81          -171.50
140.08          105.75          -142.54
143.98          105.70          -112.28
147.98          105.66          -80.62
152.09          105.65          -47.60
156.32          105.71          -13.43
160.66          105.79          21.61
165.13          105.85          57.52
169.72          105.88          94.61
174.44          105.89          133.01
179.28          105.86          172.91
184.27          105.83          -145.71
189.39          105.80          -102.88
194.65          105.75          -58.55
200.06          105.68          -12.63
205.62          105.57          35.04
211.34          105.47          84.70
217.21          105.41          136.18
223.25          105.37          -170.98
229.46          105.38          -116.94
235.83          105.36          -61.16
242.39          105.33          -4.09
249.12          105.27          54.73
256.05          105.23          115.46
263.17          105.26          177.91
270.48          105.30          -118.25
278.00          105.30          -52.61
285.73          105.21          15.76
293.67          105.12          86.38
301.83          105.04          159.70
310.22          105.01          -125.02
318.84          105.03          -48.00
327.70          104.88          31.73
336.81          104.73          114.08
346.17          104.63          -161.15
355.80          104.51          -74.29
365.68          104.34          15.66
375.85          104.25          108.50
386.29          104.14          -156.53
397.03          103.91          -58.08
408.07          103.99          43.24
419.41          104.13          146.60
431.07          104.10          -107.42
443.05          104.03          2.49
455.36          104.14          114.56
468.02          104.10          -130.86
481.03          104.02          -11.19
494.40          104.18          111.31
508.14          104.26          -123.19
522.26          104.25          6.33
536.78          104.37          139.58
551.70          104.56          -84.02
567.03          104.77          56.09
582.79          104.99          -160.47
598.99          105.15          -14.58
615.64          105.07          134.54
632.75          104.77          -69.67
650.34          104.57          90.82
668.42          104.26          -103.43
686.99          104.09          67.19
706.09          103.82          -117.31
725.71          103.59          63.29
745.89          103.48          -110.37
766.62          103.40          80.62
787.93          103.56          -82.87
809.83          103.63          118.00
832.33          103.83          -36.14
855.47          103.86          174.79
879.25          103.96          31.62
903.68          103.90          -105.79
928.80          103.82          122.66
954.62          103.62          -2.23
981.15          103.43          -120.77
1008.42         103.14          128.48
1036.45         102.76          25.15
1065.26         102.29          -70.02
1094.87         101.95          -157.17
1125.30         101.64          122.83
1156.58         101.42          52.11
1188.72         101.63          -11.68
1221.76         102.01          -68.88
1255.72         102.33          -118.85
1290.62         102.51          -162.52
1326.50         102.47          162.35
1363.37         102.37          136.04
1401.26         102.14          119.32
1440.21         101.95          112.82
1480.24         101.49          114.22
1521.38         100.62          125.97
1563.67         99.78           155.71
1607.13         98.89           -163.60
1651.80         98.14           -114.89
1697.71         97.34           -74.82
1744.90         96.48           -38.20
1793.40         95.52           9.65
1843.24         93.60           65.56
1894.48         91.24           98.25
1947.13         89.07           110.80
2001.25         87.42           122.54
2056.88         85.86           127.22
2114.05         86.31           154.43
2172.81         86.39           -137.75
2233.20         87.58           -51.73
2295.27         88.43           51.49
2359.07         89.17           -170.51
2424.64         90.16           34.08
2492.03         90.76           -99.25
2561.29         91.45           177.05
2632.48         92.62           115.67
2705.65         93.51           71.48
2780.86         93.92           46.44
2858.15         94.04           40.84
2937.59         94.03           57.24
3019.24         93.98           94.55
3103.16         93.85           157.19
3189.41         93.90           -120.09
3278.06         93.69           -13.58
3369.17         93.48           117.44
3462.82         93.50           -87.47
3559.06         93.70           90.41
3657.99         93.93           -66.21
3759.66         94.16           161.95
3864.16         94.21           54.29
3971.56         94.04           -27.21
4081.95         93.75           -80.08
4195.41         93.08           -102.10
4312.02         92.31           -95.55
4431.87         90.98           -56.34
4555.05         89.67           19.89
4681.66         88.24           128.24
4811.78         87.00           -91.62
4945.53         86.23           85.89
5082.99         86.16           -60.52
5224.27         86.43           -173.58
5369.47         87.11           111.32
5518.72         88.64           71.05
5672.11         89.67           63.17
5829.76         89.80           92.97
5991.80         89.91           166.96
6158.34         89.97           -85.80
6329.51         89.83           52.07
6505.44         89.47           -139.73
6686.25         88.82           60.05
6872.10         87.58           -77.02
7063.10         86.25           -161.91
7259.42         87.88           162.66
7461.19         89.80           172.82
7668.58         90.30           -126.17
7881.72         90.65           -4.23
8100.79         90.92           -162.92
8325.95         91.27           101.02
8557.37         91.88           96.21
8795.22         92.55           152.76
9039.68         92.70           -89.02
9290.93         92.00           95.51
9549.17         91.53           -11.25
9814.59         91.33           -59.82
10087.38        91.24           -74.64
10367.76        90.96           -29.37
10655.93        90.40           53.57
10952.11        89.09           168.92
11256.52        87.11           -10.02
11569.39        86.24           -115.49
11890.96        88.22           -143.84
12221.46        90.49           -92.63
12561.16        91.72           75.14
12910.29        92.24           -23.89
13269.13        92.28           1.08
13637.94        92.32           156.02
14017.00        92.41           76.30
14406.60        92.36           100.55
14807.03        91.82           -130.23
15218.59        90.45           102.84
15641.58        88.95           75.63
16076.34        86.80           155.98
16523.17        86.49           -13.23
16982.43        86.39           -71.86
17454.45        86.11           -19.75
17939.60        85.60           136.20
18438.22        85.28           5.59
18950.71        83.97           -2.05
19477.44        81.16           129.58
20018.81        80.02           -89.78
20575.22        79.12           -163.84
21147.11        78.51           160.38
21734.88        78.18           160.31
