Freq [Hz]       dBSPL           Phase [Deg]
20.00           69.71           8.51
20.56           69.77           15.91
21.13           69.83           21.34
21.71           69.88           24.23
22.32           69.92           24.37
22.94           70.01           26.61
23.58           70.09           23.83
24.23           70.16           15.00
24.90           70.22           0.62
25.60           70.28           -18.09
26.31           70.34           -39.05
27.04           70.41           -59.32
27.79           70.50           -75.94
28.56           70.63           -86.59
29.36           70.80           -89.82
30.17           71.03           -85.12
31.01           71.30           -73.18
31.87           71.64           -56.06
32.76           72.03           -37.02
33.67           72.49           -19.81
34.61           73.03           -8.00
35.57           73.67           -4.30
36.56           74.45           -10.33
37.57           75.43           -26.41
38.62           76.68           -51.66
39.69           78.23           -84.14
40.79           80.11           -120.87
41.93           82.30           -158.47
43.09           84.73           166.28
44.29           87.13           136.07
45.52           89.05           112.61
46.79           90.17           96.50
48.09           90.53           87.17
49.42           90.55           83.45
50.80           90.44           84.16
52.21           90.22           88.12
53.66           89.77           94.22
55.15           88.83           101.35
56.69           87.03           108.54
58.26           84.76           115.04
59.88           84.51           120.46
61.54           85.73           125.07
63.26           86.76           129.46
65.01           87.74           134.26
66.82           88.98           139.67
68.68           90.52           145.34
70.59           92.04           150.69
72.55           93.27           155.58
74.57           94.19           160.54
76.64           95.04           166.35
78.77           95.92           173.21
80.96           96.80           -179.33
83.21           97.64           -171.83
85.52           98.35           -164.23
87.90           98.91           -155.97
90.34           99.38           -146.55
92.85           99.82           -136.00
95.43           100.23          -124.61
98.08           100.55          -112.48
100.81          100.79          -99.36
103.61          101.00          -84.93
106.49          101.21          -69.17
109.45          101.44          -52.39
112.49          101.71          -34.76
115.62          101.96          -16.31
118.84          102.17          2.89
122.14          102.32          22.74
125.53          102.42          43.33
129.02          102.43          64.93
132.61          102.33          87.62
136.29          102.15          111.31
140.08          101.94          136.65
143.98          101.73          163.70
147.98          101.49          -168.14
152.09          101.23          -138.45
156.32          101.01          -107.48
160.66          100.79          -75.68
165.13          100.54          -42.45
169.72          100.36          -7.02
174.44          100.15          29.90
179.28          99.82           68.29
184.27          99.50           108.64
189.39          99.28           150.65
194.65          99.15           -165.84
200.06          99.14           -121.08
205.62          99.20           -75.16
211.34          99.29           -28.60
217.21          99.27           18.69
223.25          99.13           69.06
229.46          98.92           120.40
235.83          98.87           171.96
242.39          98.67           -135.12
249.12          98.35           -80.52
256.05          98.01           -23.44
263.17          97.74           35.72
270.48          97.56           97.42
278.00          97.57           159.61
285.73          97.77           -137.32
293.67          97.56           -70.76
301.83          97.47           -1.23
310.22          97.34           69.96
318.84          97.11           141.64
327.70          97.00           -143.18
336.81          96.87           -65.79
346.17          96.77           13.19
355.80          96.54           94.31
365.68          96.28           178.67
375.85          96.12           -94.66
386.29          95.90           -5.74
397.03          95.93           86.38
408.07          95.72           178.53
419.41          95.47           -83.34
431.07          95.16           17.24
443.05          94.88           120.87
455.36          94.75           -132.99
468.02          94.59           -25.70
481.03          94.12           86.03
494.40          93.89           -159.41
508.14          93.59           -36.56
522.26          93.48           86.94
536.78          93.28           -146.44
551.70          93.10           -16.66
567.03          92.90           117.20
582.79          92.49           -104.10
598.99          92.37           37.30
615.64          92.21           -177.99
632.75          91.49           -28.54
650.34          91.16           124.95
668.42          90.76           -79.47
686.99          90.09           84.75
706.09          89.58           -107.10
725.71          88.86           65.66
745.89          88.56           -118.92
766.62          88.16           65.47
787.93          88.26           -107.01
809.83          87.91           81.54
832.33          87.30           -77.05
855.47          87.07           123.86
879.25          86.41           -28.66
903.68          85.62           -166.30
928.80          84.65           66.13
954.62          85.09           -60.02
981.15          84.05           176.15
1008.42         83.73           72.07
1036.45         85.58           -28.98
1065.26         86.84           -131.17
1094.87         87.08           134.55
1125.30         87.86           47.67
1156.58         89.56           -44.73
1188.72         89.61           -126.85
1221.76         89.86           134.75
1255.72         90.25           21.21
1290.62         89.94           -94.78
1326.50         89.29           131.62
1363.37         88.83           -14.97
1401.26         89.28           -162.95
1440.21         87.85           55.77
1480.24         87.56           -72.52
1521.38         86.98           -175.91
1563.67         86.94           127.03
1607.13         86.75           87.17
1651.80         87.58           71.83
1697.71         88.45           107.90
1744.90         88.91           156.24
1793.40         88.58           -135.43
1843.24         88.79           -57.20
1894.48         88.69           31.14
1947.13         88.28           131.67
2001.25         88.10           -119.76
2056.88         87.58           -25.25
2114.05         86.82           63.95
2172.81         84.65           138.77
2233.20         83.70           -155.34
2295.27         82.30           -87.50
2359.07         81.27           -21.38
2424.64         80.56           24.69
2492.03         79.49           45.08
2561.29         79.09           64.84
2632.48         78.25           101.71
2705.65         78.07           156.33
2780.86         78.19           -125.39
