Freq [Hz]       dBSPL           Phase [Deg]
20.00           56.79           -77.39
20.56           56.65           -75.33
21.13           56.61           -73.34
21.71           56.72           -71.53
22.32           57.02           -70.00
22.94           57.53           -67.26
23.58           58.56           -64.91
24.23           60.06           -63.50
24.90           61.88           -63.34
25.60           63.81           -64.77
26.31           65.65           -68.10
27.04           67.24           -73.64
27.79           68.50           -81.64
28.56           69.45           -92.31
29.36           70.14           -105.75
30.17           70.63           -122.00
31.01           70.93           -140.98
31.87           71.09           -162.47
32.76           71.12           173.82
33.67           71.07           148.24
34.61           71.06           121.09
35.57           71.24           92.61
36.56           71.82           62.91
37.57           72.89           32.01
38.62           74.48           -0.02
39.69           76.45           -32.83
40.79           78.64           -65.74
41.93           80.86           -97.58
43.09           82.93           -126.65
44.29           84.74           -151.35
45.52           86.18           -170.79
46.79           87.24           175.10
48.09           87.91           165.29
49.42           88.26           158.09
50.80           88.38           152.27
52.21           88.30           147.36
53.66           88.05           143.65
55.15           87.65           141.59
56.69           87.19           141.15
58.26           86.97           141.84
59.88           87.34           143.08
61.54           88.34           145.45
63.26           89.67           149.91
65.01           91.07           157.24
66.82           92.43           166.83
68.68           93.74           176.70
70.59           95.05           -174.94
72.55           96.34           -168.56
74.57           97.55           -162.97
76.64           98.63           -156.56
78.77           99.57           -148.59
80.96           100.43          -139.39
83.21           101.25          -129.74
85.52           102.01          -119.94
87.90           102.67          -109.73
90.34           103.25          -98.60
92.85           103.76          -86.28
95.43           104.24          -72.90
98.08           104.69          -58.67
100.81          105.10          -43.64
103.61          105.43          -27.72
106.49          105.70          -10.77
109.45          105.93          7.25
112.49          106.14          26.33
115.62          106.30          46.39
118.84          106.39          67.47
122.14          106.43          89.76
125.53          106.42          113.44
129.02          106.39          138.55
132.61          106.38          165.01
136.29          106.38          -167.30
140.08          106.35          -138.36
143.98          106.31          -108.03
147.98          106.30          -76.29
152.09          106.31          -43.33
156.32          106.37          -9.21
160.66          106.45          25.88
165.13          106.50          61.84
169.72          106.49          99.10
174.44          106.47          137.79
179.28          106.45          177.81
184.27          106.41          -140.69
189.39          106.38          -97.66
194.65          106.33          -53.09
200.06          106.26          -6.90
205.62          106.17          40.99
211.34          106.09          90.87
217.21          106.06          142.46
223.25          106.05          -164.95
229.46          106.11          -110.96
235.83          106.09          -55.03
242.39          106.08          2.15
249.12          106.03          60.98
256.05          105.97          121.76
263.17          105.99          -175.56
270.48          106.02          -111.52
278.00          106.02          -45.32
285.73          105.89          23.61
293.67          105.81          94.57
301.83          105.74          168.06
310.22          105.70          -115.79
318.84          105.52          -37.73
327.70          105.42          42.15
336.81          105.28          124.89
346.17          105.21          -150.03
355.80          105.14          -62.71
365.68          105.03          27.45
375.85          104.99          120.29
386.29          104.96          -144.63
397.03          105.05          -47.18
408.07          105.08          53.67
419.41          105.27          157.23
431.07          105.27          -96.68
443.05          105.23          13.03
455.36          105.32          125.20
468.02          105.30          -120.12
481.03          105.21          -0.44
494.40          105.41          123.39
508.14          105.54          -110.77
522.26          105.56          19.07
536.78          105.74          152.48
551.70          105.91          -71.05
567.03          106.12          69.33
582.79          106.31          -147.21
598.99          106.45          -0.53
615.64          106.36          148.94
632.75          106.03          -55.36
650.34          105.90          105.64
668.42          105.61          -88.20
686.99          105.46          83.23
706.09          105.26          -100.69
725.71          105.15          80.65
745.89          105.15          -92.36
766.62          105.22          99.33
787.93          105.48          -63.55
809.83          105.69          137.66
832.33          106.06          -16.12
855.47          106.21          -165.22
879.25          106.39          51.57
903.68          106.46          -85.51
928.80          106.52          143.26
954.62          106.43          17.51
981.15          106.33          -101.01
1008.42         106.10          147.88
1036.45         105.77          44.31
1065.26         105.39          -50.53
1094.87         105.17          -137.65
1125.30         105.14          142.92
1156.58         105.26          70.86
1188.72         105.45          6.34
1221.76         105.69          -51.06
1255.72         105.89          -100.71
1290.62         105.97          -143.02
1326.50         105.98          -175.59
1363.37         106.04          160.44
1401.26         106.08          145.75
1440.21         105.94          140.56
1480.24         105.77          145.36
1521.38         105.51          160.88
1563.67         105.30          -165.33
1607.13         105.20          -120.57
1651.80         105.23          -68.32
1697.71         105.14          -3.77
1744.90         104.92          72.27
1793.40         104.66          161.84
1843.24         104.29          -96.76
