Freq [Hz]       dBSPL           Phase [Deg]
20.00           56.29           8.05
20.56           56.01           19.04
21.13           55.80           30.07
21.71           55.69           40.92
22.32           55.69           51.47
22.94           55.59           70.86
23.58           55.85           91.42
24.23           56.55           111.60
24.90           57.60           131.33
25.60           58.87           150.73
26.31           60.20           170.11
27.04           61.44           -169.95
27.79           62.50           -148.97
28.56           63.37           -126.71
29.36           64.06           -103.28
30.17           64.57           -79.16
31.01           64.95           -55.33
31.87           65.21           -33.27
32.76           65.40           -14.87
33.67           65.55           -2.04
34.61           65.76           3.61
35.57           66.15           1.03
36.56           66.82           -10.19
37.57           67.89           -29.65
38.62           69.40           -56.23
39.69           71.29           -88.18
40.79           73.43           -123.14
41.93           75.65           -158.42
43.09           77.77           168.66
44.29           79.64           140.38
45.52           81.16           118.30
46.79           82.27           103.02
48.09           82.95           94.22
49.42           83.29           90.98
50.80           83.39           92.24
52.21           83.32           96.84
53.66           83.09           103.52
55.15           82.79           111.02
56.69           82.66           118.33
58.26           83.15           124.82
59.88           84.24           130.34
61.54           85.53           135.22
63.26           86.82           139.91
65.01           88.15           144.79
66.82           89.59           150.00
68.68           91.09           155.45
70.59           92.49           160.98
72.55           93.70           166.55
74.57           94.75           172.35
76.64           95.72           178.66
78.77           96.64           -174.41
80.96           97.50           -166.98
83.21           98.29           -159.15
85.52           98.98           -150.84
87.90           99.56           -141.79
90.34           100.06          -131.82
92.85           100.49          -120.90
95.43           100.86          -109.09
98.08           101.17          -96.28
100.81          101.42          -82.38
103.61          101.64          -67.30
106.49          101.85          -51.08
109.45          102.07          -33.81
112.49          102.29          -15.65
115.62          102.50          3.32
118.84          102.65          23.00
122.14          102.73          43.38
125.53          102.74          64.63
129.02          102.67          87.09
132.61          102.51          110.98
136.29          102.27          136.28
140.08          102.01          163.06
143.98          101.71          -168.62
147.98          101.37          -138.80
152.09          101.04          -107.32
156.32          100.75          -74.29
160.66          100.51          -39.78
165.13          100.32          -3.83
169.72          100.24          33.34
174.44          100.16          71.68
179.28          100.03          111.46
184.27          99.97           152.72
189.39          99.99           -164.76
194.65          100.06          -121.26
200.06          100.12          -77.03
205.62          100.11          -31.85
211.34          99.98           14.76
217.21          99.76           63.67
223.25          99.58           115.29
229.46          99.37           168.28
235.83          99.10           -138.13
242.39          98.72           -82.48
249.12          98.31           -24.53
256.05          98.03           35.83
263.17          97.89           97.97
270.48          97.91           161.54
278.00          97.89           -134.33
285.73          97.78           -68.86
293.67          97.61           0.39
301.83          97.56           71.88
310.22          97.46           145.51
318.84          97.22           -138.24
327.70          97.00           -60.47
336.81          96.77           20.33
346.17          96.57           103.36
355.80          96.48           -171.11
365.68          96.45           -84.40
375.85          96.23           4.48
386.29          95.93           96.15
397.03          95.72           -168.97
408.07          95.46           -68.85
419.41          95.51           33.26
431.07          95.40           138.17
443.05          95.40           -114.23
455.36          95.27           -4.05
468.02          95.19           110.07
481.03          95.32           -131.23
494.40          95.63           -10.39
508.14          96.18           110.24
522.26          96.50           -126.08
536.78          96.74           0.27
551.70          96.79           129.32
567.03          96.63           -96.97
582.79          96.59           41.35
598.99          96.54           -178.26
615.64          96.25           -34.67
632.75          95.82           114.60
650.34          95.17           -90.11
668.42          94.28           71.04
686.99          93.52           -123.29
706.09          92.79           48.89
725.71          92.42           -135.37
745.89          91.73           44.78
766.62          91.14           -131.28
787.93          90.74           58.69
809.83          90.28           -107.86
832.33          89.80           96.00
855.47          89.12           -54.67
879.25          88.54           156.21
903.68          87.19           22.86
928.80          85.91           -101.99
954.62          84.26           105.60
981.15          84.25           -50.44
1008.42         84.02           161.95
1036.45         84.88           18.98
1065.26         85.77           -119.11
1094.87         87.01           112.02
1125.30         88.35           -15.41
1156.58         89.00           -142.08
1188.72         89.25           115.45
1221.76         89.26           51.30
1255.72         89.55           -5.63
1290.62         89.53           -60.79
1326.50         89.04           -111.71
1363.37         88.30           162.91
1401.26         87.51           67.53
1440.21         86.94           -23.00
1480.24         86.06           -99.20
1521.38         86.13           -167.55
1563.67         85.52           141.50
1607.13         85.72           106.55
1651.80         87.29           80.04
1697.71         88.64           92.44
1744.90         89.04           151.29
1793.40         89.25           -127.71
1843.24         89.60           -35.53
1894.48         89.74           68.08
1947.13         89.72           178.92
2001.25         89.58           -59.34
2056.88         89.00           79.70
2114.05         88.02           -126.88
2172.81         87.08           45.36
2233.20         86.21           -126.69
2295.27         85.11           78.45
2359.07         83.95           -62.55
2424.64         82.80           176.88
2492.03         81.87           71.31
2561.29         80.66           -26.63
2632.48         79.27           -122.85
2705.65         78.68           149.73
2780.86         78.14           81.77
2858.15         77.80           31.33
2937.59         77.38           2.29
3019.24         77.61           -6.96
3103.16         77.74           5.77
3189.41         78.30           42.66
3278.06         78.84           117.22
3369.17         78.75           -131.36
3462.82         78.77           0.84
3559.06         78.43           160.55
3657.99         78.15           -19.20
3759.66         78.01           150.13
3864.16         77.55           -15.18
3971.56         76.87           -150.71
4081.95         76.04           101.15
4195.41         75.49           19.07
4312.02         74.79           -82.93
4431.87         74.63           111.98
4555.05         74.24           -87.70
4681.66         74.30           137.21
4811.78         75.09           41.26
4945.53         76.11           -26.06
5082.99         76.43           -61.79
5224.27         76.51           -61.84
5369.47         76.41           3.17
5518.72         76.40           178.63
5672.11         76.28           95.91
5829.76         76.26           57.38
5991.80         75.78           61.28
6158.34         74.97           105.06
6329.51         74.12           -161.78
6505.44         73.78           -25.37
6686.25         73.50           155.04
6872.10         73.55           26.22
7063.10         74.35           -38.85
7259.42         75.52           -36.44
7461.19         76.35           12.04
7668.58         76.53           108.57
7881.72         76.34           -100.24
8100.79         76.04           109.57
8325.95         75.83           20.86
8557.37         76.03           -11.66
8795.22         76.34           7.99
9039.68         75.91           88.27
9290.93         74.81           -126.33
9549.17         74.18           84.19
9814.59         74.45           -24.80
10087.38        74.47           -126.13
10367.76        74.41           72.45
10655.93        74.07           71.39
10952.11        73.13           -21.84
11256.52        72.37           -68.40
11569.39        72.02           -118.30
11890.96        72.26           -136.27
12221.46        72.35           -65.51
12561.16        71.92           76.71
12910.29        71.86           -161.34
13269.13        71.93           97.77
13637.94        71.81           46.75
14017.00        71.46           -96.42
14406.60        71.13           76.09
14807.03        70.18           -106.68
15218.59        69.17           105.97
15641.58        68.51           42.75
16076.34        68.08           -176.66
16523.17        67.89           -171.16
16982.43        66.46           3.86
17454.45        66.20           -69.66
17939.60        67.19           -104.73
18438.22        66.55           -84.83
18950.71        66.21           127.19
19477.44        71.16           -123.45
20018.81        74.68           165.11
20575.22        75.21           144.61
21147.11        75.85           61.75
21734.88        76.56           -83.66
