Freq [Hz]       dBSPL           Phase [Deg]
20.00           63.13           -66.21
20.56           63.52           -71.86
21.13           63.84           -76.58
21.71           64.04           -80.12
22.32           64.12           -82.38
22.94           64.31           -87.59
23.58           64.36           -90.75
24.23           64.26           -91.15
24.90           63.99           -89.06
25.60           63.55           -85.10
26.31           62.95           -80.28
27.04           62.20           -76.03
27.79           61.37           -73.74
28.56           60.52           -74.43
29.36           59.76           -78.64
30.17           59.15           -86.38
31.01           58.71           -96.99
31.87           58.40           -109.05
32.76           58.13           -120.50
33.67           57.83           -129.05
34.61           57.47           -132.59
35.57           57.04           -129.54
36.56           56.54           -119.01
37.57           56.07           -100.88
38.62           55.93           -75.83
39.69           56.88           -45.21
40.79           59.43           -11.11
41.93           62.85           24.10
43.09           65.99           58.01
44.29           68.43           88.49
45.52           70.27           113.98
46.79           71.72           133.58
48.09           73.04           147.10
49.42           74.45           154.83
50.80           76.05           157.49
52.21           77.80           156.27
53.66           79.55           152.81
55.15           81.16           148.94
56.69           82.62           145.99
58.26           84.01           144.73
59.88           85.42           145.29
61.54           86.91           147.57
63.26           88.45           151.44
65.01           89.96           156.75
66.82           91.40           163.11
68.68           92.76           169.88
70.59           94.05           176.55
72.55           95.27           -177.04
74.57           96.42           -170.60
76.64           97.48           -163.71
78.77           98.44           -156.14
80.96           99.31           -147.88
83.21           100.09          -139.05
85.52           100.79          -129.66
87.90           101.42          -119.59
90.34           101.98          -108.68
92.85           102.47          -96.81
95.43           102.89          -83.97
98.08           103.28          -70.15
100.81          103.62          -55.35
103.61          103.92          -39.58
106.49          104.18          -22.80
109.45          104.42          -4.98
112.49          104.62          13.82
115.62          104.77          33.50
118.84          104.88          54.10
122.14          104.91          75.77
125.53          104.87          98.72
129.02          104.80          123.13
132.61          104.70          149.03
136.29          104.59          176.30
140.08          104.47          -155.10
143.98          104.34          -125.07
147.98          104.23          -93.51
152.09          104.16          -60.55
156.32          104.17          -26.35
160.66          104.23          8.83
165.13          104.30          44.84
169.72          104.34          81.88
174.44          104.36          120.15
179.28          104.34          159.85
184.27          104.34          -159.06
189.39          104.33          -116.58
194.65          104.30          -72.78
200.06          104.23          -27.53
205.62          104.09          19.47
211.34          103.93          68.61
217.21          103.80          119.82
223.25          103.75          172.65
229.46          103.72          -133.22
235.83          103.67          -77.83
242.39          103.60          -20.85
249.12          103.53          37.88
256.05          103.50          98.46
263.17          103.56          160.61
270.48          103.65          -136.04
278.00          103.65          -71.16
285.73          103.56          -3.96
293.67          103.46          66.04
301.83          103.39          138.52
310.22          103.34          -146.94
318.84          103.26          -70.54
327.70          103.08          8.33
336.81          102.90          89.97
346.17          102.79          173.74
355.80          102.64          -100.73
365.68          102.37          -12.22
375.85          102.14          79.79
386.29          101.91          174.07
397.03          101.62          -88.12
408.07          101.58          13.12
419.41          101.66          115.92
431.07          101.49          -138.81
443.05          101.24          -29.35
455.36          101.26          82.81
468.02          101.15          -163.02
481.03          101.01          -43.24
494.40          101.11          79.25
508.14          101.11          -155.94
522.26          101.02          -26.92
536.78          100.93          105.92
551.70          101.05          -117.08
567.03          101.25          23.11
