Freq [Hz]       dBSPL           Phase [Deg]
20.00           61.90           -30.33
20.56           62.02           -27.92
21.13           62.13           -27.18
21.71           62.22           -28.52
22.32           62.30           -32.05
22.94           62.45           -36.82
23.58           62.59           -46.04
24.23           62.70           -59.91
24.90           62.79           -77.78
25.60           62.87           -98.42
26.31           62.96           -119.86
27.04           63.07           -139.42
27.79           63.22           -154.47
28.56           63.45           -163.03
29.36           63.75           -163.88
30.17           64.16           -156.81
31.01           64.67           -142.69
31.87           65.29           -123.72
32.76           65.99           -103.27
33.67           66.79           -85.05
34.61           67.67           -72.57
35.57           68.67           -68.43
36.56           69.82           -74.09
37.57           71.17           -89.70
38.62           72.77           -114.20
39.69           74.62           -145.58
40.79           76.67           179.12
41.93           78.82           143.09
43.09           80.94           109.25
44.29           82.87           80.10
45.52           84.45           57.50
46.79           85.57           42.62
48.09           86.19           35.97
49.42           86.44           37.54
50.80           86.45           46.55
52.21           86.29           61.23
53.66           85.94           78.76
55.15           85.39           96.13
56.69           84.74           111.29
58.26           84.43           123.45
59.88           84.75           132.86
61.54           85.49           139.72
63.26           86.38           144.11
65.01           87.48           146.20
66.82           88.91           146.99
68.68           90.54           148.26
70.59           92.04           151.32
72.55           93.23           156.50
74.57           94.20           163.06
76.64           95.12           170.07
78.77           96.05           176.96
80.96           96.96           -176.34
83.21           97.77           -169.47
85.52           98.46           -161.89
87.90           99.03           -153.18
90.34           99.53           -143.30
92.85           100.00          -132.58
95.43           100.41          -121.25
98.08           100.70          -109.16
100.81          100.91          -95.93
103.61          101.10          -81.25
106.49          101.32          -65.25
109.45          101.55          -48.39
112.49          101.78          -30.74
115.62          102.00          -12.15
118.84          102.20          7.21
122.14          102.35          27.11
125.53          102.41          47.78
129.02          102.41          69.48
132.61          102.37          92.52
136.29          102.26          117.16
140.08          102.08          143.11
143.98          101.85          170.11
147.98          101.56          -161.41
152.09          101.26          -131.33
156.32          101.03          -100.00
160.66          100.81          -67.62
165.13          100.49          -33.88
169.72          100.14          1.47
174.44          99.83           38.42
179.28          99.52           77.33
184.27          99.27           118.16
189.39          99.11           160.39
194.65          99.03           -155.96
200.06          99.08           -111.14
205.62          99.16           -65.67
211.34          99.17           -19.14
217.21          99.14           28.31
223.25          98.98           76.26
229.46          98.87           125.27
235.83          98.68           177.45
242.39          98.41           -129.44
249.12          97.99           -74.15
256.05          97.57           -16.25
263.17          97.33           43.82
270.48          97.13           105.52
278.00          97.12           169.22
285.73          96.99           -123.73
293.67          96.81           -56.52
301.83          96.63           13.55
310.22          96.49           85.06
318.84          96.19           156.44
327.70          95.97           -127.95
336.81          95.68           -50.11
346.17          95.40           29.60
355.80          95.00           111.65
365.68          94.70           -162.25
375.85          94.49           -75.06
386.29          94.22           14.36
397.03          94.15           106.57
408.07          93.69           -162.38
419.41          93.38           -63.82
431.07          92.86           36.39
443.05          92.37           141.10
455.36          92.08           -112.98
468.02          91.23           -6.33
481.03          89.88           109.65
494.40          89.10           -124.24
508.14          88.93           4.97
522.26          88.86           134.23
536.78          88.82           -95.12
551.70          88.85           39.59
567.03          89.07           175.46
582.79          88.81           -49.37
598.99          89.10           53.21
615.64          88.91           151.52
632.75          88.36           -103.00
650.34          88.14           4.98
668.42          87.28           121.33
686.99          86.98           -116.57
706.09          85.98           9.86
725.71          85.41           143.34
745.89          85.29           -45.75
766.62          85.43           139.09
787.93          85.69           -37.85
809.83          85.14           141.23
832.33          85.00           -55.93
855.47          84.53           110.29
879.25          84.13           -74.10
903.68          83.66           105.32
928.80          83.52           -68.79
954.62          83.22           119.06
981.15          82.36           -71.51
1008.42         83.92           106.67
1036.45         85.02           -53.25
1065.26         85.03           164.29
1094.87         85.44           30.94
1125.30         87.32           -95.95
1156.58         89.09           142.14
1188.72         90.00           25.28
1221.76         91.06           -67.18
1255.72         90.94           -139.07
1290.62         90.57           172.61
1326.50         90.70           136.93
1363.37         90.75           99.95
1401.26         90.61           71.78
1440.21         89.66           55.65
1480.24         88.72           53.81
1521.38         86.75           66.45
1563.67         86.26           104.43
1607.13         87.32           141.68
1651.80         88.59           -176.91
1697.71         89.37           -127.47
1744.90         89.52           -65.00
1793.40         89.67           9.31
1843.24         89.65           95.89
1894.48         89.63           -166.43
1947.13         89.63           -62.14
2001.25         89.35           51.29
2056.88         88.44           -178.47
2114.05         86.66           -30.52
2172.81         85.99           133.82
2233.20         84.53           -46.14
2295.27         83.92           153.97
2359.07         82.59           -2.20
2424.64         81.14           -170.24
2492.03         80.70           31.08
2561.29         79.29           -130.82
2632.48         78.58           66.05
2705.65         78.09           -114.39
2780.86         77.41           46.29
2858.15         77.92           -143.44
2937.59         77.96           46.40
3019.24         77.85           -92.94
3103.16         77.63           142.19
3189.41         78.47           43.89
3278.06         78.88           -5.54
3369.17         79.13           3.56
3462.82         79.30           61.41
3559.06         78.99           165.10
3657.99         78.98           -67.44
3759.66         78.92           94.44
3864.16         78.72           -46.74
3971.56         77.84           162.37
4081.95         77.21           1.50
4195.41         76.78           -140.63
4312.02         75.84           71.77
4431.87         75.30           -127.25
4555.05         74.45           14.45
4681.66         74.10           -169.55
4811.78         73.89           34.76
4945.53         74.03           -63.17
5082.99         74.14           -90.20
5224.27         74.30           -62.96
5369.47         74.16           22.75
5518.72         73.92           153.13
5672.11         73.84           -50.88
5829.76         73.98           92.38
5991.80         73.77           -131.31
6158.34         73.31           -3.26
6329.51         72.67           170.04
6505.44         72.81           26.08
6686.25         72.71           -117.67
6872.10         72.65           60.38
7063.10         73.13           -40.77
7259.42         74.45           -31.30
7461.19         75.23           73.32
7668.58         75.58           -108.49
7881.72         75.52           118.30
8100.79         75.38           13.48
8325.95         75.03           -73.46
8557.37         75.09           -70.45
8795.22         75.30           54.29
9039.68         74.74           -111.64
9290.93         73.66           83.16
9549.17         73.17           -34.16
9814.59         73.21           -94.63
10087.38        73.28           169.97
10367.76        73.21           49.63
10655.93        73.02           -144.23
10952.11        72.86           -47.82
11256.52        72.41           74.66
11569.39        72.21           -146.77
11890.96        71.89           26.98
12221.46        71.77           -106.98
12561.16        71.27           157.48
12910.29        71.00           82.08
13269.13        70.96           -30.75
13637.94        70.69           -114.68
14017.00        70.22           -16.89
14406.60        69.84           -15.02
14807.03        68.68           139.59
15218.59        68.16           -107.81
15641.58        67.75           156.95
16076.34        67.57           -70.72
16523.17        67.54           -179.11
16982.43        65.38           153.71
17454.45        65.32           -140.04
17939.60        66.76           -92.28
18438.22        66.43           89.73
18950.71        66.28           72.92
19477.44        71.81           -62.00
20018.81        75.22           -53.81
20575.22        75.75           125.80
21147.11        76.38           91.75
21734.88        77.10           -165.36
