Freq [Hz]       dBSPL           Phase [Deg]
20.00           58.41           -64.73
20.56           58.54           -72.42
21.13           58.63           -79.27
21.71           58.66           -85.00
22.32           58.63           -89.47
22.94           58.62           -98.61
23.58           58.52           -105.98
24.23           58.31           -110.47
24.90           57.99           -112.13
25.60           57.56           -111.32
26.31           57.03           -108.77
27.04           56.42           -105.56
27.79           55.78           -102.79
28.56           55.16           -101.34
29.36           54.61           -101.72
30.17           54.19           -104.09
31.01           53.95           -108.14
31.87           53.89           -113.03
32.76           54.00           -117.44
33.67           54.27           -119.82
34.61           54.68           -118.69
35.57           55.26           -112.83
36.56           56.08           -101.41
37.57           57.24           -84.08
38.62           58.87           -60.99
39.69           60.97           -32.90
40.79           63.37           -1.23
41.93           65.75           32.18
43.09           67.82           65.21
44.29           69.47           95.79
45.52           70.77           122.20
46.79           71.86           143.15
48.09           72.93           157.88
49.42           74.15           166.18
50.80           75.61           168.46
52.21           77.28           165.80
53.66           78.97           160.08
55.15           80.50           153.47
56.69           81.86           147.64
58.26           83.15           143.62
59.88           84.49           141.73
61.54           85.96           142.07
63.26           87.51           144.59
65.01           89.04           149.12
66.82           90.46           155.13
68.68           91.78           161.74
70.59           93.05           168.25
72.55           94.26           174.41
74.57           95.41           -179.51
76.64           96.45           -173.05
78.77           97.38           -165.96
80.96           98.22           -158.20
83.21           98.98           -149.84
85.52           99.67           -140.90
87.90           100.28          -131.31
90.34           100.82          -120.93
92.85           101.27          -109.65
95.43           101.64          -97.36
98.08           101.97          -84.01
100.81          102.26          -69.58
103.61          102.52          -54.13
106.49          102.75          -37.66
109.45          102.97          -20.14
112.49          103.18          -1.66
115.62          103.36          17.63
118.84          103.48          37.70
122.14          103.53          58.64
125.53          103.49          80.67
129.02          103.39          104.08
132.61          103.25          129.02
136.29          103.06          155.42
140.08          102.84          -176.78
143.98          102.59          -147.44
147.98          102.34          -116.49
152.09          102.12          -83.99
156.32          101.98          -49.98
160.66          101.91          -14.69
165.13          101.90          21.55
169.72          101.91          58.72
174.44          101.91          97.07
179.28          101.90          136.74
184.27          101.91          177.78
189.39          101.95          -139.92
194.65          101.98          -96.57
200.06          101.97          -52.18
205.62          101.86          -6.34
211.34          101.66          41.65
217.21          101.45          91.94
223.25          101.29          144.05
229.46          101.15          -162.54
235.83          100.99          -107.63
242.39          100.78          -50.94
249.12          100.60          7.81
256.05          100.52          68.50
263.17          100.58          130.80
270.48          100.71          -165.92
278.00          100.78          -101.39
285.73          100.75          -34.58
293.67          100.67          34.86
301.83          100.65          106.65
310.22          100.62          -179.54
318.84          100.51          -103.72
327.70          100.35          -25.62
336.81          100.20          55.29
346.17          100.13          138.38
355.80          100.12          -136.84
365.68          99.96           -50.44
375.85          99.71           39.49
386.29          99.46           132.10
397.03          99.22           -131.81
408.07          99.13           -31.78
419.41          99.18           70.00
431.07          99.07           174.01
443.05          98.84           -78.74
455.36          98.72           31.82
468.02          98.68           144.41
481.03          98.53           -98.24
494.40          98.59           21.64
508.14          98.52           143.02
522.26          98.26           -91.00
536.78          97.92           37.69
551.70          97.44           171.18
567.03          97.01           -50.05
582.79          96.64           92.73
598.99          96.56           -121.44
615.64          96.18           27.07
632.75          95.59           -177.37
650.34          95.18           -17.61
668.42          94.45           148.45
686.99          94.31           -40.55
706.09          94.23           133.88
725.71          94.11           -48.44
745.89          93.92           135.13
766.62          93.86           -36.94
787.93          93.96           154.16
809.83          93.69           -9.48
832.33          93.48           -168.37
