Freq [Hz]       dBSPL           Phase [Deg]
20.00           61.22           -32.04
20.56           61.34           -35.48
21.13           61.36           -38.72
21.71           61.26           -41.68
22.32           61.06           -44.32
22.94           60.84           -49.39
23.58           60.46           -54.20
24.23           59.89           -58.22
24.90           59.11           -61.41
25.60           58.09           -63.81
26.31           56.81           -65.55
27.04           55.33           -66.82
27.79           53.81           -67.90
28.56           52.56           -69.03
29.36           52.00           -70.47
30.17           52.50           -72.46
31.01           53.90           -75.22
31.87           55.68           -78.95
32.76           57.38           -83.87
33.67           58.82           -90.18
34.61           60.00           -98.17
35.57           60.96           -108.20
36.56           61.78           -120.73
37.57           62.54           -136.33
38.62           63.32           -155.40
39.69           64.18           -177.86
40.79           65.20           156.95
41.93           66.40           130.45
43.09           67.71           104.80
44.29           69.07           82.34
45.52           70.42           65.00
46.79           71.76           54.12
48.09           73.12           50.30
49.42           74.57           53.21
50.80           76.11           61.98
52.21           77.73           75.18
53.66           79.38           90.78
55.15           81.02           106.50
56.69           82.62           120.62
58.26           84.17           132.25
59.88           85.70           141.41
61.54           87.21           148.77
63.26           88.70           155.03
65.01           90.19           160.71
66.82           91.66           166.20
68.68           93.08           171.88
70.59           94.41           178.00
72.55           95.63           -175.32
74.57           96.76           -168.19
76.64           97.82           -160.72
78.77           98.80           -152.96
80.96           99.69           -144.80
83.21           100.48          -136.07
85.52           101.17          -126.61
87.90           101.80          -116.30
90.34           102.37          -105.12
92.85           102.88          -93.07
95.43           103.33          -80.13
98.08           103.72          -66.23
100.81          104.08          -51.34
103.61          104.39          -35.47
106.49          104.66          -18.60
109.45          104.90          -0.72
112.49          105.10          18.12
115.62          105.25          37.92
118.84          105.35          58.69
122.14          105.38          80.57
125.53          105.36          103.79
129.02          105.29          128.44
132.61          105.21          154.51
136.29          105.12          -178.06
140.08          105.03          -149.30
143.98          104.94          -119.15
147.98          104.86          -87.52
152.09          104.83          -54.51
156.32          104.86          -20.35
160.66          104.93          14.73
165.13          105.00          50.73
169.72          105.04          87.84
174.44          105.05          126.19
179.28          105.04          165.98
184.27          105.02          -152.84
189.39          105.00          -110.21
194.65          104.96          -66.15
200.06          104.88          -20.61
205.62          104.75          26.75
211.34          104.61          76.17
217.21          104.51          127.52
223.25          104.46          -179.55
229.46          104.43          -125.39
235.83          104.41          -69.81
242.39          104.35          -12.80
249.12          104.29          45.98
256.05          104.26          106.60
263.17          104.30          168.84
270.48          104.37          -127.63
278.00          104.37          -62.47
285.73          104.30          5.12
293.67          104.19          75.41
301.83          104.11          148.23
310.22          104.06          -136.71
318.84          103.97          -59.61
327.70          103.80          19.57
336.81          103.62          101.61
346.17          103.50          -174.22
355.80          103.34          -88.08
365.68          103.10          1.21
375.85          102.92          93.68
386.29          102.74          -171.65
397.03          102.53          -73.92
408.07          102.53          27.37
419.41          102.65          130.45
431.07          102.53          -123.82
443.05          102.37          -13.97
455.36          102.45          98.26
468.02          102.38          -147.29
481.03          102.28          -27.44
494.40          102.42          95.53
508.14          102.49          -139.34
522.26          102.46          -10.10
536.78          102.49          123.01
551.70          102.68          -100.37
567.03          102.89          39.63
582.79          103.13          -176.85
598.99          103.35          -31.57
615.64          103.27          116.79
632.75          103.00          -88.78
650.34          102.77          70.84
668.42          102.48          -123.84
686.99          102.33          45.71
706.09          101.99          -139.90
725.71          101.69          39.61
745.89          101.44          -134.93
766.62          101.23          54.88
787.93          101.24          -109.69
809.83          101.13          90.55
832.33          101.09          -64.14
855.47          100.82          146.93
879.25          100.75          4.29
903.68          100.56          -133.15
928.80          100.28          95.15
954.62          99.81           -29.35
981.15          99.49           -147.01
1008.42         99.14           103.26
1036.45         98.76           1.35
1065.26         98.38           -94.04
1094.87         98.03           178.53
1125.30         97.46           97.02
1156.58         97.02           28.38
1188.72         97.32           -34.35
1221.76         97.92           -91.32
1255.72         98.31           -142.08
1290.62         98.58           172.45
1326.50         98.56           133.04
1363.37         98.28           101.81
1401.26         97.81           81.67
1440.21         97.57           72.63
1480.24         96.74           70.13
1521.38         95.31           72.25
1563.67         93.73           91.04
1607.13         92.29           116.08
1651.80         90.88           149.83
1697.71         91.69           -164.15
