Freq [Hz]       dBSPL           Phase [Deg]
20.00           63.69           -47.33
20.56           63.71           -50.95
21.13           63.65           -54.83
21.71           63.52           -59.00
22.32           63.31           -63.42
22.94           63.04           -71.28
23.58           62.62           -80.09
24.23           62.05           -89.19
24.90           61.31           -98.26
25.60           60.38           -106.84
26.31           59.28           -114.34
27.04           58.03           -120.05
27.79           56.73           -123.34
28.56           55.50           -123.84
29.36           54.51           -121.50
30.17           53.93           -116.64
31.01           53.84           -110.01
31.87           54.17           -102.87
32.76           54.75           -96.88
33.67           55.42           -93.74
34.61           56.10           -94.94
35.57           56.77           -101.51
36.56           57.44           -113.94
37.57           58.14           -132.03
38.62           58.93           -154.97
39.69           59.89           178.61
40.79           61.06           150.69
41.93           62.47           123.55
43.09           64.11           99.49
44.29           65.91           80.46
45.52           67.80           67.73
46.79           69.72           61.67
48.09           71.62           61.75
49.42           73.46           66.86
50.80           75.22           75.74
52.21           76.92           87.05
53.66           78.57           99.36
55.15           80.18           111.32
56.69           81.78           121.94
58.26           83.36           130.72
59.88           84.91           137.81
61.54           86.44           143.80
63.26           87.94           149.29
65.01           89.42           154.68
66.82           90.88           160.22
68.68           92.28           165.99
70.59           93.59           172.04
72.55           94.80           178.42
74.57           95.91           -174.89
76.64           96.94           -167.85
78.77           97.90           -160.43
80.96           98.76           -152.56
83.21           99.54           -144.15
85.52           100.22          -135.07
87.90           100.83          -125.20
90.34           101.37          -114.47
92.85           101.85          -102.85
95.43           102.25          -90.29
98.08           102.61          -76.73
100.81          102.92          -62.11
103.61          103.20          -46.45
106.49          103.45          -29.77
109.45          103.68          -12.08
112.49          103.88          6.55
115.62          104.05          26.04
118.84          104.16          46.39
122.14          104.19          67.71
125.53          104.15          90.25
129.02          104.06          114.20
132.61          103.93          139.64
136.29          103.78          166.50
140.08          103.61          -165.22
143.98          103.43          -135.46
147.98          103.25          -104.13
152.09          103.12          -71.27
156.32          103.06          -37.09
160.66          103.08          -1.84
165.13          103.13          34.30
169.72          103.17          71.41
174.44          103.19          109.69
179.28          103.19          149.32
184.27          103.19          -169.67
189.39          103.21          -127.37
194.65          103.21          -83.86
200.06          103.15          -39.07
205.62          103.01          7.39
211.34          102.82          56.04
217.21          102.65          106.90
223.25          102.55          159.38
229.46          102.48          -146.85
235.83          102.38          -91.61
242.39          102.26          -34.74
249.12          102.16          24.02
256.05          102.13          84.63
263.17          102.20          146.78
270.48          102.32          -150.02
278.00          102.36          -85.39
285.73          102.30          -18.38
293.67          102.21          51.27
301.83          102.17          123.29
310.22          102.12          -162.58
318.84          102.00          -86.49
327.70          101.84          -8.10
336.81          101.67          73.08
346.17          101.58          156.39
355.80          101.49          -118.74
365.68          101.24          -31.51
375.85          100.97          59.45
386.29          100.70          152.90
397.03          100.44          -110.29
408.07          100.35          -9.79
419.41          100.40          92.47
431.07          100.21          -163.05
443.05          99.89           -54.80
455.36          99.80           56.69
468.02          99.68           169.90
481.03          99.46           -71.26
494.40          99.43           50.59
508.14          99.31           174.38
522.26          99.04           -57.34
536.78          98.70           74.20
551.70          98.47           -148.92
567.03          98.44           -8.34
582.79          98.46           136.37
598.99          98.73           -77.49
615.64          98.65           71.30
632.75          98.44           -133.82
650.34          98.25           25.10
668.42          97.94           -169.41
686.99          98.02           -0.28
706.09          97.86           172.55
725.71          97.68           -10.02
745.89          97.46           173.16
766.62          97.34           0.58
787.93          97.27           -167.83
809.83          96.97           29.32
832.33          96.67           -128.48
855.47          95.95           81.20
879.25          95.34           -59.89
903.68          94.73           165.22
928.80          94.12           34.81
954.62          92.96           -88.86
981.15          92.02           157.26
1008.42         91.63           51.62
1036.45         91.42           -47.99
1065.26         91.77           -141.33
1094.87         92.04           128.95
1125.30         91.67           43.81
1156.58         91.85           -24.37
1188.72         92.50           -88.60
1221.76         93.08           -148.48
1255.72         93.37           156.02
1290.62         93.27           107.46
1326.50         92.99           64.28
1363.37         92.62           19.30
1401.26         92.25           -26.57
1440.21         91.94           -69.09
1480.24         90.64           -101.11
1521.38         88.84           -114.52
1563.67         87.40           -108.38
1607.13         88.49           -88.83
1651.80         90.71           -63.43
1697.71         91.94           -18.80
1744.90         92.80           50.60
1793.40         93.34           138.68
1843.24         94.01           -122.56
1894.48         94.45           -12.98
1947.13         94.69           100.35
2001.25         94.73           -134.79
2056.88         94.20           8.53
2114.05         93.56           168.97
2172.81         93.06           -14.58
2233.20         92.48           176.66
2295.27         91.70           26.62
2359.07         90.86           -106.20
2424.64         89.73           135.24
2492.03         89.03           36.56
2561.29         88.04           -49.71
2632.48         87.12           -130.27
2705.65         85.94           119.19
2780.86         84.71           -31.09
2858.15         84.24           162.87
2937.59         83.46           15.64
3019.24         82.75           -109.90
3103.16         82.59           146.57
3189.41         82.68           63.96
3278.06         83.00           9.98
3369.17         83.78           14.54
3462.82         84.19           100.45
3559.06         84.10           -122.32
3657.99         83.88           28.08
3759.66         83.71           171.49
3864.16         83.34           -24.48
3971.56         83.04           170.46
4081.95         82.41           14.55
4195.41         82.38           -138.25
4312.02         82.06           95.18
4431.87         82.05           -6.78
4555.05         81.88           -102.17
4681.66         81.86           135.89
4811.78         82.14           60.55
4945.53         82.52           15.93
5082.99         83.12           5.89
5224.27         83.34           69.20
5369.47         83.56           172.51
5518.72         83.68           -45.44
5672.11         83.74           137.78
5829.76         83.73           -23.18
5991.80         83.46           164.54
6158.34         82.93           18.13
6329.51         82.76           -81.96
6505.44         82.89           -140.05
6686.25         82.91           -156.00
6872.10         82.12           -122.99
7063.10         81.91           -61.01
7259.42         82.35           70.32
7461.19         83.54           -32.62
7668.58         83.99           -47.41
7881.72         83.76           -44.90
8100.79         83.01           -84.70
8325.95         82.15           146.16
8557.37         82.62           43.54
8795.22         84.42           2.16
9039.68         85.44           102.49
9290.93         85.54           -70.33
9549.17         85.27           162.57
9814.59         85.54           -4.98
10087.38        85.84           -41.27
10367.76        86.02           131.53
10655.93        86.28           83.97
10952.11        86.33           75.85
11256.52        85.93           142.95
11569.39        85.86           -73.27
11890.96        85.75           128.35
12221.46        85.68           -46.92
12561.16        85.58           -152.71
12910.29        85.47           155.72
13269.13        85.18           -9.91
13637.94        84.08           128.61
14017.00        82.92           -166.42
14406.60        81.50           163.70
14807.03        80.67           7.22
15218.59        80.06           57.00
15641.58        79.17           -20.80
16076.34        78.53           -2.79
16523.17        78.29           -94.55
16982.43        78.51           160.31
17454.45        78.07           -63.39
17939.60        77.80           -138.02
18438.22        77.11           29.83
18950.71        76.44           40.22
19477.44        76.08           63.42
20018.81        74.97           17.78
20575.22        74.53           57.75
21147.11        73.94           66.31
21734.88        71.98           6.08
